row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Giá bán bình quân VND/đơn vị,Tổng giá trị bản VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lỗ bán chứng khoán năm nay VND,Lỗ bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Giá bán bình quân VND/đơn vị,numeric__Tổng giá trị bản VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lỗ bán chứng khoán năm nay VND,numeric__Lỗ bán chứng khoán năm trước VND
II,II,II,LỔ BẢN,,,,,,,,,,,,,
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết,185.514.649,,3.201.874.434.847,3.599.809.742.318,(397.935.307.471),(92.843.431.773),,185514649.0,,3201874434847.0,3599809742318.0,-397935307471.0,-92843431773.0
1,II > 1,1,PLX,8.916.270,46.984,418.921.947.040,506.827.907.585,(87.905.960.545),(962.663.005),,8916270.0,46984.0,418921947040.0,506827907585.0,-87905960545.0,-962663005.0
1,II > 1,1,ELC,4.788.440,7.116,34.075.956.400,103.391.142.917,(69.315.186.517),(372.229.209),,4788440.0,7116.0,34075956400.0,103391142917.0,-69315186517.0,-372229209.0
1,II > 1,1,GEX,5.412.440,18.127,98.109.470.500,132.829.783.121,(34.720.312.621),(19.321.421.061),,5412440.0,18127.0,98109470500.0,132829783121.0,-34720312621.0,-19321421061.0
1,II > 1,1,MBB,15.944.720,17.644,281.332.547.290,304.072.509.342,(22.739.962.052),(790.693.057),,15944720.0,17644.0,281332547290.0,304072509342.0,-22739962052.0,-790693057.0
1,II > 1,1,MWG,2.514.250,81.055,203.793.463.000,231.531.642.117,(27.738.179.117),(3.944.484.844),,2514250.0,81055.0,203793463000.0,231531642117.0,-27738179117.0,-3944484844.0
1,II > 1,1,Chứng quyền do Công ty phát hành,85.282.490,,404.407.236.617,468.348.507.940,(63.941.271.323),(22.034.933.298),,85282490.0,,404407236617.0,468348507940.0,-63941271323.0,-22034933298.0
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết khác,62.656.039,,1.761.233.814.000,1.852.808.249.296,(91.574.435.296),(45.417.007.299),,62656039.0,,1761233814000.0,1852808249296.0,-91574435296.0,-45417007299.0
2,II > 2,2,Trải phiếu niêm yết,147.950.000,,15.563.192.750.000,15.565.568.300.000,(2.375.550.000),(2.263.320.000),,147950000.0,,15563192750000.0,15565568300000.0,-2375550000.0,-2263320000.0
3,II > 3,3,Trải phiếu và chứng khoán chưa niêm yết,260.187,,4.468.559.829.907,4.517.190.563.977,(48.630.734.070),(26.886.894.695),,260187.0,,4468559829907.0,4517190563977.0,-48630734070.0,-26886894695.0
4,II > 4,4,Lỗ vị thể của hợp đồng CKPS,,,,,(87.531.037.000),(6.939.770.000),,,,,,-87531037000.0,-6939770000.0
4,II > 4,4,Tổng cộng,333.724.836,,23.233.627.014.754,23.682.568.606.295,(536.472.628.541),(128.933.416.468),,333724836.0,,23233627014754.0,23682568606295.0,-536472628541.0,-128933416468.0
