row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý (4),Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý (4),numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý (4),numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý (4)
Cho vay hoạt độngkỳ quỹ (1),Cho vay hoạt độngkỳ quỹ (1),Cho vay hoạt độngkỳ quỹ (1),9.012.433.408.635,8.982.336.808.955,5.285.813.165.409,5.255.659.510.344,9012433408635.0,8982336808955.0,5285813165409.0,5255659510344.0
Cho vay hoạt độngứng trước tiền báncủa khách hàng (2),Cho vay hoạt độngứng trước tiền báncủa khách hàng (2),Cho vay hoạt độngứng trước tiền báncủa khách hàng (2),213.422.988.773,213.422.988.773,49.029.062.675,49.029.062.675,213422988773.0,213422988773.0,49029062675.0,49029062675.0
Các khoản khác (3),Các khoản khác (3),Các khoản khác (3),301.808.219,301.808.219,24.500.000.000,24.500.000.000,301808219.0,301808219.0,24500000000.0,24500000000.0
Tổng cộng,Tổng cộng,Tổng cộng,9.226.158.205.627,9.196.061.605.947,5.359.342.228.084,5.329.188.573.019,9226158205627.0,9196061605947.0,5359342228084.0,5329188573019.0
