row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí)
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu năm,Tăng trong năm,Giám trong năm,Số cuối năm,Doanh thu/ (chi phí),,,,,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Góp vốn đầu tư,274.400.000.000,-,-,274.400.000.000,-,,274400000000.0,,,274400000000.0,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,11.050.951,(11.050.951),-,11.050.951,,,11050951.0,-11050951.0,,11050951.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Góp vốn đầu tư,30.000.000.000,-,-,30.000.000.000,-,,30000000000.0,,,30000000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Doanh thu giao dịch và dịch vụ chứng khoán khác,107.968.922,3.038.396.775,(2.864.901.695),281.464.002,2.964.684.180,,107968922.0,3038396775.0,-2864901695.0,281464002.0,2964684180.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Số dư danh mục ủy thác đầu tư,200.918.954.626,81.369.283.602,(124.315.362.138),157.972.876.090,-,,200918954626.0,81369283602.0,-124315362138.0,157972876090.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Các khoản phải trả quỹ phúc lợi và khác,(1.930.890.000),-,1.930.890.000,-,-,,-1930890000.0,,1930890000.0,,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Chi phí quản lý danh mục,(466.369.713),(5.261.919.991),3.720.150.040,(2.008.139.664),(5.261.919.991),,-466369713.0,-5261919991.0,3720150040.0,-2008139664.0,-5261919991.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Chi phí tư vấn đầu tư chứng khoán,-,(493.000.000),318.000.000,(175.000.000),(493.000.000),,,-493000000.0,318000000.0,-175000000.0,-493000000.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Lợi nhuận được chia,-,36.120.042.543,(36.120.042.543),-,36.120.042.543,,,36120042543.0,-36120042543.0,,36120042543.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,331.873.577,(331.873.577),-,331.586.677,,,331873577.0,-331873577.0,,331586677.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Giao dịch bán chứng khoán,-,20.874.938.052.000,(20.874.938.052.000),-,56.667.260.750,,,20874938052000.0,-20874938052000.0,,56667260750.0
