row_label_raw,row_label_full,Các khoản đầu tư nằm giữ đến ngày đào hạn (1) > - Tiến gửi có kỳ hạn còn lại trên 1 năm > - Trái phiếu nằm giữ đến ngày đào hạn,Số cuối năm > 5.464.741.128.665 > 2.000.415.894.298 > 3.464.325.234.367,Đơn vị tính: VND > Số đầu năm > 3.444.540.512.534 > - > 3.444.540.512.534,numeric__Số cuối năm > 5.464.741.128.665 > 2.000.415.894.298 > 3.464.325.234.367,numeric__Đơn vị tính: VND > Số đầu năm > 3.444.540.512.534 > - > 3.444.540.512.534
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,304.400.000.000,304.400.000.000,304400000000.0,304400000000.0
- Công ty TNHH Quản lý Quỹ SSI,- Công ty TNHH Quản lý Quỹ SSI,- Công ty TNHH Quản lý Quỹ SSI,30.000.000.000,30.000.000.000,30000000000.0,30000000000.0
- Quỹ Đầu tư Thành viên SSI,- Quỹ Đầu tư Thành viên SSI,- Quỹ Đầu tư Thành viên SSI,274.400.000.000,274.400.000.000,274400000000.0,274400000000.0
"Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)",612.078.641.078,628.602.035.226,612078641078.0,628602035226.0
- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),612.078.641.078,628.602.035.226,612078641078.0,628602035226.0
Tổng cộng,Tổng cộng,Tổng cộng,6.381.219.769.743,4.377.542.547.760,6381219769743.0,4377542547760.0
