row_label_raw,row_label_full,Năm 2019,Môi giới và dịch vụ khách hàng (1) > Năm 2019,Tư doanh > Năm 2019,Kinh doanh nguồn vốn > Năm 2019,Ngân hàng đầu tư và các bộ phận khác > Năm 2019,Đơn vị tính: VND Tổng cộng > Năm 2019,numeric__Môi giới và dịch vụ khách hàng (1) > Năm 2019,numeric__Tư doanh > Năm 2019,numeric__Kinh doanh nguồn vốn > Năm 2019,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2019,numeric__Đơn vị tính: VND Tổng cộng > Năm 2019
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1.313.530.539.015,724.625.809.223,1.029.392.626.950,89.912.057.577,3.157.461.032.765,1313530539015.0,724625809223.0,1029392626950.0,89912057577.0,3157461032765.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,788.093.508.987,444.192.498.440,702.383.215.898,32.648.280.177,1.967.317.503.502,788093508987.0,444192498440.0,702383215898.0,32648280177.0,1967317503502.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,109.508.800.221,22.961.522.628,14.130.167.770,30.026.606.513,176.627.097.132,109508800221.0,22961522628.0,14130167770.0,30026606513.0,176627097132.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,415.928.229.807,257.471.788.155,312.879.243.282,27.237.170.887,1.013.516.432.131,415928229807.0,257471788155.0,312879243282.0,27237170887.0,1013516432131.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2019 > 1. Tài sản bộ phận,1. Tài sản bộ phận,5.365.175.232.762,5.990.401.369.088,14.906.970.252.591,24.370.397.537,26.286.917.251.978,5365175232762.0,5990401369088.0,14906970252591.0,24370397537.0,26286917251978.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2019 > 2. Tài sản phân bổ,2. Tài sản phân bổ,168.297.306.782,35.288.144.971,21.715.781.520,46.146.035.731,271.447.269.004,168297306782.0,35288144971.0,21715781520.0,46146035731.0,271447269004.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2019 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,122.106.345.359,,,,,122106345359.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2019 > Tổng tài sản,Tổng tài sản,5.533.472.539.544,6.025.689.514.059,14.928.686.034.111,70.516.433.268,26.680.470.866.341,5533472539544.0,6025689514059.0,14928686034111.0,70516433268.0,26680470866341.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2019 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,1.997.469.537.515,640.925.708.047,14.484.195.452.339,7.965.251.621,17.130.555.949.522,1997469537515.0,640925708047.0,14484195452339.0,7965251621.0,17130555949522.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2019 > 5. Nợ phân bổ,5. Nợ phân bổ,179.443.619.507,37.625.275.058,23.154.015.420,49.202.282.768,289.425.192.753,179443619507.0,37625275058.0,23154015420.0,49202282768.0,289425192753.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2019 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,156.729.533.983,,,,,156729533983.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2019 > Tổng công nợ,Tổng công nợ,2.176.913.157.022,678.550.983.105,14.507.349.467.759,57.167.534.389,17.576.710.676.258,2176913157022.0,678550983105.0,14507349467759.0,57167534389.0,17576710676258.0
