row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả) > Số đầu năm,Phải thu/(phải trả) > Tăng trong năm,Phải thu/(phải trả) > Giảm trong năm,Phải thu/(phải trả) > Số cuối năm,Đơn vị tính: VNDDoanh thu/(chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả) > Số đầu năm,numeric__Phải thu/(phải trả) > Tăng trong năm,numeric__Phải thu/(phải trả) > Giảm trong năm,numeric__Phải thu/(phải trả) > Số cuối năm,numeric__Đơn vị tính: VNDDoanh thu/(chi phí)
Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Doanh thu giao dịch và dịch vụchứng khoán khác,-,2.179.108.456,(2.179.108.456),-,2.178.923.656,,,2179108456.0,-2179108456.0,,2178923656.0
Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Phải trả khác,-,(196.076.717),196.076.717,-,-,,,-196076717.0,196076717.0,,
Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Giao dịch mua chứng khoán,-,(8.428.883.852.000),8.428.883.852.000,-,-,,,-8428883852000.0,8428883852000.0,,
Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Giao dịch bán chứng khoán,-,8.859.326.298.000,(8.859.326.298.000),-,14.076.545.772,,,8859326298000.0,-8859326298000.0,,14076545772.0
Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Hợp đồng quản lý tiền gửi,(81.385.797.725),(6.299.151.023.588),6.150.819.930.278,(229.716.891.035),-,,-81385797725.0,-6299151023588.0,6150819930278.0,-229716891035.0,
Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Lãi hợp đồng quản lý tiền gửi,(322.230.808),(41.610.551.343),41.311.303.403,(621.478.748),(41.610.551.343),,-322230808.0,-41610551343.0,41311303403.0,-621478748.0,-41610551343.0
Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Chi phí mua hàng hóa,(12.474.000),(4.689.505.403),4.701.979.403,-,(4.689.505.403),,-12474000.0,-4689505403.0,4701979403.0,,-4689505403.0
Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Công ty Cổ phầnTập đoàn PAN vàcác công ty con,Lãi trải phiếu,-,8.864.383.557,(8.864.383.557),-,1.960.273.968,,,8864383557.0,-8864383557.0,,1960273968.0
Công ty TNHH MTVNguyễn Sài Gòn,Công ty TNHH MTVNguyễn Sài Gòn,Công ty TNHH MTVNguyễn Sài Gòn,Doanh thu giao dịch và dịch vụchứng khoán khác,-,374.686.911,(374.686.911),-,374.686.911,,,374686911.0,-374686911.0,,374686911.0
Công ty TNHH MTVNguyễn Sài Gòn,Công ty TNHH MTVNguyễn Sài Gòn,Công ty TNHH MTVNguyễn Sài Gòn,Phải thu giao dịch ký quỹ,-,9.719.182.684,(9.719.182.684),-,14.411.731,,,9719182684.0,-9719182684.0,,14411731.0
