row_label_raw,row_label_full,col_0,Mây móc thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VNDTổng công,numeric__Mây móc thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng công
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,
Ngày 1 tháng 1 năm 2020,Nguyên giả > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,181.494.262.176,21.616.657.300,1.665.467.389,204.776.386.865,181494262176.0,21616657300.0,1665467389.0,204776386865.0
Tăng trong năm,Nguyên giả > Tăng trong năm,Tăng trong năm,22.189.775.273,9.291.580.000,527.104.800,32.008.460.073,22189775273.0,9291580000.0,527104800.0,32008460073.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,22.189.775.273,9.291.580.000,527.104.800,32.008.460.073,22189775273.0,9291580000.0,527104800.0,32008460073.0
Giảm trong năm,Nguyên giả > Giảm trong năm,Giảm trong năm,(5.253.205.020),(4.354.764.000),(242.625.900),(9.850.594.920),-5253205020.0,-4354764000.0,-242625900.0,-9850594920.0
"Thanh lý, nhượng bán","Nguyên giả > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.994.408.035),(4.354.764.000),(242.625.900),(9.591.797.935),-4994408035.0,-4354764000.0,-242625900.0,-9591797935.0
Giảm khác,Nguyên giả > Giảm khác,Giảm khác,(258.796.985),-,-,(258.796.985),-258796985.0,,,-258796985.0
Ngày 31 tháng 12 năm 2020,Nguyên giả > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,198.430.832.429,26.553.473.300,1.949.946.289,226.934.252.018,198430832429.0,26553473300.0,1949946289.0,226934252018.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm 2020,Giá trị hao mòn lũy kế > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,94.937.311.048,12.708.726.433,569.816.412,108.215.853.893,94937311048.0,12708726433.0,569816412.0,108215853893.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,26.625.303.755,1.873.598.290,459.563.514,28.958.465.559,26625303755.0,1873598290.0,459563514.0,28958465559.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,26.625.303.755,1.873.598.290,459.563.514,28.958.465.559,26625303755.0,1873598290.0,459563514.0,28958465559.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(5.115.179.964),(3.292.440.396),(53.005.104),(8.460.625.464),-5115179964.0,-3292440396.0,-53005104.0,-8460625464.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.994.408.035),(3.292.440.396),(53.005.104),(8.339.853.535),-4994408035.0,-3292440396.0,-53005104.0,-8339853535.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(120.771.929),-,-,(120.771.929),-120771929.0,,,-120771929.0
Ngày 31 tháng 12 năm 2020,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,116.447.434.839,11.289.884.327,976.374.822,128.713.693.988,116447434839.0,11289884327.0,976374822.0,128713693988.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2020,Giá trị còn lại > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,86.556.951.128,8.907.930.867,1.095.650.977,96.560.532.972,86556951128.0,8907930867.0,1095650977.0,96560532972.0
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,81.983.397.590,15.263.588.973,973.571.467,98.220.558.030,81983397590.0,15263588973.0,973571467.0,98220558030.0
