row_label_raw,row_label_full,Số đầu năm,Vốn góp của chủ sở hữu > 5.100.636.840.000,Thặng dư vốn cổ phần > 29.470.756.034,Quyền chọn chuyển đổi trải phiếu – Cấu phần vốn > 113.779.095.785,Cổ phiếu quỹ > (19.126.478.284),Chênh lệch đánh giá lại tài sản theo giá trị hợp lý > 260.974.419.033,Quỹ dự trữ bổ sung vốn điều lệ > 474.303.674.335,Quỹ dự phòng tài chính và rủi ro nghiệp vụ > 389.796.079.651,Lợi nhuận chưa phân phối > 2.753.925.803.529,Tổng cộng > 9.103.760.190.083,numeric__Vốn góp của chủ sở hữu > 5.100.636.840.000,numeric__Thặng dư vốn cổ phần > 29.470.756.034,numeric__Quyền chọn chuyển đổi trải phiếu – Cấu phần vốn > 113.779.095.785,numeric__Cổ phiếu quỹ > (19.126.478.284),numeric__Chênh lệch đánh giá lại tài sản theo giá trị hợp lý > 260.974.419.033,numeric__Quỹ dự trữ bổ sung vốn điều lệ > 474.303.674.335,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụ > 389.796.079.651,numeric__Lợi nhuận chưa phân phối > 2.753.925.803.529,numeric__Tổng cộng > 9.103.760.190.083
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,-,-,1.266.613.549.417,1.266.613.549.417,,,,,,,,1266613549417.0,1266613549417.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,-(15.535.484.501),-,-,-,-,(15.535.484.501),,,,,,,,,-15535484501.0
Dánh giá lại tài sản tài chính AFS và khác,Dánh giá lại tài sản tài chính AFS và khác,Dánh giá lại tài sản tài chính AFS và khác,-,-,-,-,(264.767.452.139),-,-,-,(264.767.452.139),,,,,-264767452139.0,,,,-264767452139.0
Phát hành cổ phiếu tăng vốn theo chương trình lựa chọn người lao động theo Nghị quyết số 01/2019/NQ-DHĐCD ngày 25 tháng 4 năm 2019,Phát hành cổ phiếu tăng vốn theo chương trình lựa chọn người lao động theo Nghị quyết số 01/2019/NQ-DHĐCD ngày 25 tháng 4 năm 2019,Phát hành cổ phiếu tăng vốn theo chương trình lựa chọn người lao động theo Nghị quyết số 01/2019/NQ-DHĐCD ngày 25 tháng 4 năm 2019,100.000.000.000,-,-,-,-,-,-,-,100.000.000.000,100000000000.0,,,,,,,,100000000000.0
"Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo Nghị quyết Đại hội đồng cổ đông (""DHĐCD"")","Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo Nghị quyết Đại hội đồng cổ đông (""DHĐCD"")","Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo Nghị quyết Đại hội đồng cổ đông (""DHĐCD"")",-,-,-,-,-,44.883.670.314,-,(44.883.670.314),-,,,,,,44883670314.0,,-44883670314.0,
Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo Nghị quyết DHĐCD,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo Nghị quyết DHĐCD,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo Nghị quyết DHĐCD,-,-,-,-,-,-,44.883.670.314,(44.883.670.314),-,,,,,,,44883670314.0,-44883670314.0,
Phát hành cổ phiếu trả cổ tức 16% theo Nghị quyết DHĐCD số 02/2019/NQ-DHĐCD ngày 26 tháng 11 năm 2019,Phát hành cổ phiếu trả cổ tức 16% theo Nghị quyết DHĐCD số 02/2019/NQ-DHĐCD ngày 26 tháng 11 năm 2019,Phát hành cổ phiếu trả cổ tức 16% theo Nghị quyết DHĐCD số 02/2019/NQ-DHĐCD ngày 26 tháng 11 năm 2019,828.819.290.000,-,-,-,-,-,-,(828.819.290.000),-,828819290000.0,,,,,,,-828819290000.0,
Trả cổ tức bằng tiền 2019 (10%),Trả cổ tức bằng tiền 2019 (10%),Trả cổ tức bằng tiền 2019 (10%),-,-,-,-,-,-,-,(600.936.363.000),(600.936.363.000),,,,,,,,-600936363000.0,-600936363000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,1.733.218.000,1.733.218.000,,,,,,,,1733218000.0,1733218000.0
Số cuối năm,Số cuối năm,Số cuối năm,6.029.456.130.000,29.470.756.034,113.779.095.785,(34.661.962.785),(3.793.033.106),519.187.344.649,434.679.749.965,2.502.749.577.318,9.590.867.657.860,6029456130000.0,29470756034.0,113779095785.0,-34661962785.0,-3793033106.0,519187344649.0,434679749965.0,2502749577318.0,9590867657860.0
