row_label_raw,row_label_full,(Hoàn nhập)/dự phòng suy giảm giá trị các khoản cho vay,Năm nay > (57.055.385),Đơn vị tính: VND > Năm trước > 487.522.858,numeric__Năm nay > (57.055.385),numeric__Đơn vị tính: VND > Năm trước > 487.522.858
Hoàn nhập dự phòng phải thu tiền bán chứng khoản khó đòi,Hoàn nhập dự phòng phải thu tiền bán chứng khoản khó đòi,Hoàn nhập dự phòng phải thu tiền bán chứng khoản khó đòi,(6.628.833.484),-,-6628833484.0,
Chi phí dự phòng suy giảm giá trị tài sản tài chính sản sáng để bán,Chi phí dự phòng suy giảm giá trị tài sản tài chính sản sáng để bán,Chi phí dự phòng suy giảm giá trị tài sản tài chính sản sáng để bán,7.130.300.000,11.013.850.000,7130300000.0,11013850000.0
Tổng cộng,Tổng cộng,Tổng cộng,444.411.131,11.501.372.858,444411131.0,11501372858.0
