row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,Số dư đầu năm > Ngày 1 tháng 1 năm 2019 > VND,Số dư đầu năm > Ngày 1 tháng 1 năm 2020 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2019 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2020 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2019 > VND,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2020 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2019 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2020 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,5.235.152.952.935,5.224.760.213.535,(10.392.739.400),-,913.283.805.499,-,5.224.760.213.535,6.138.044.019.034,,5235152952935.0,5224760213535.0,-10392739400.0,,913283805499.0,,5224760213535.0,6138044019034.0
1.1.Cổ phiếu phổ thông,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU > 1.1.Cổ phiếu phổ thông,1.1.Cổ phiếu phổ thông,,5.100.636.840.000,5.100.636.840.000,-,-,928.819.290.000,-,5.100.636.840.000,6.029.456.130.000,,5100636840000.0,5100636840000.0,,,928819290000.0,,5100636840000.0,6029456130000.0
1.2.Thặng dư vốn cổ phần,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU > 1.2.Thặng dư vốn cổ phần,1.2.Thặng dư vốn cổ phần,,29.470.756.034,29.470.756.034,-,-,-,-,29.470.756.034,29.470.756.034,,29470756034.0,29470756034.0,,,,,29470756034.0,29470756034.0
1.3.Quyền chơn chuyên đối trải phiếu – Cấu phần vốn,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU > 1.3.Quyền chơn chuyên đối trải phiếu – Cấu phần vốn,1.3.Quyền chơn chuyên đối trải phiếu – Cấu phần vốn,,113.779.095.785,113.779.095.785,-,-,-,-,113.779.095.785,113.779.095.785,,113779095785.0,113779095785.0,,,,,113779095785.0,113779095785.0
1.4.Cổ phiếu quỹ,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU > 1.4.Cổ phiếu quỹ,1.4.Cổ phiếu quỹ,,(8.733.738.884),(19.126.478.284),(10.392.739.400),-,(15.535.484.501),-,(19.126.478.284),(34.661.962.785),,-8733738884.0,-19126478284.0,-10392739400.0,,-15535484501.0,,-19126478284.0,-34661962785.0
2.Quỷ dự trữ bổ sung vốn điều lệ,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU > 2.Quỷ dự trữ bổ sung vốn điều lệ,2.Quỷ dự trữ bổ sung vốn điều lệ,,409.057.165.307,474.303.674.335,65.246.509.028,-,44.883.670.314,-,474.303.674.335,519.187.344.649,,409057165307.0,474303674335.0,65246509028.0,,44883670314.0,,474303674335.0,519187344649.0
3.Quỷ dự phòng tài chính và rủi ro nghiệp vụ,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU > 3.Quỷ dự phòng tài chính và rủi ro nghiệp vụ,3.Quỷ dự phòng tài chính và rủi ro nghiệp vụ,,324.549.570.623,389.796.079.651,65.246.509.028,-,44.883.670.314,-,389.796.079.651,434.679.749.965,,324549570623.0,389796079651.0,65246509028.0,,44883670314.0,,389796079651.0,434679749965.0
4.Chênh lệch đánh già lại tài sản theo giả trị hợp lý,I. BIỆN ĐỘNG VỐN CHỦ SỐ HỮU > 4.Chênh lệch đánh già lại tài sản theo giả trị hợp lý,4.Chênh lệch đánh già lại tài sản theo giả trị hợp lý,,236.127.124.138,260.974.419.033,97.058.372.289,(72.211.077.394),30.309.756.224,(295.077.208.363),260.974.419.033,(3.793.033.106),,236127124138.0,260974419033.0,97058372289.0,-72211077394.0,30309756224.0,-295077208363.0,260974419033.0,-3793033106.0
