row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,13.173.199.979.211,120.030.830.343,(85.317.319.053),13.207.913.490.501,4.503.658.322.749,34.102.995.339,(274.150.357.731),4.263.610.960.357,13173199979211.0,120030830343.0,-85317319053.0,13207913490501.0,4503658322749.0,34102995339.0,-274150357731.0,4263610960357.0
Cổ phiếu vàchủng khoảnniêm yết,Cổ phiếu vàchủng khoảnniêm yết,Cổ phiếu vàchủng khoảnniêm yết,1.482.733.518.173,92.770.039.976,(65.551.634.669),1.509.951.923.480,1.623.567.774.767,23.299.629.645,(251.216.173.472),1.395.651.230.940,1482733518173.0,92770039976.0,-65551634669.0,1509951923480.0,1623567774767.0,23299629645.0,-251216173472.0,1395651230940.0
Cổ phiếu niêmyết cho hoạtđồng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđồng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđồng phòngngửa rủi ro củachứng quyền,497.988.719.529,27.260.790.367,(208.766.296),525.040.743.600,147.825.259.973,3.718.365.694,(3.377.266.167),148.166.359.500,497988719529.0,27260790367.0,-208766296.0,525040743600.0,147825259973.0,3718365694.0,-3377266167.0,148166359500.0
Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,54.082.228.373,-,(19.556.918.088),34.525.310.285,399.114.275.313,7.085.000.000,(19.556.918.092),386.642.357.221,54082228373.0,,-19556918088.0,34525310285.0,399114275313.0,7085000000.0,-19556918092.0,386642357221.0
Trái phiếu chưaniêm yết,Trái phiếu chưaniêm yết,Trái phiếu chưaniêm yết,2.274.447.114.683,-,-,2.274.447.114.683,791.847.533.546,-,-,791.847.533.546,2274447114683.0,,,2274447114683.0,791847533546.0,,,791847533546.0
Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,8.863.948.398.453,-,-,8.863.948.398.453,1.541.303.479.150,-,-,1.541.303.479.150,8863948398453.0,,,8863948398453.0,1541303479150.0,,,1541303479150.0
AFS,AFS,AFS,188.022.664.703,-,(4.741.291.385),183.281.373.318,426.279.961.632,354.712.424.223,(22.795.520.351),758.196.865.504,188022664703.0,,-4741291385.0,183281373318.0,426279961632.0,354712424223.0,-22795520351.0,758196865504.0
Cổ phiếu niêmyết,Cổ phiếu niêmyết,Cổ phiếu niêmyết,-,-,-,-,251.088.614.728,354.712.424.223,(14.697.025.351),591.104.213.600,,,,,251088614728.0,354712424223.0,-14697025351.0,591104213600.0
Cổ phiếu chưaniêm yết,Cổ phiếu chưaniêm yết,Cổ phiếu chưaniêm yết,188.022.664.703,-,(4.741.291.385),183.281.373.318,175.191.146.904,-,(8.098.495.000),167.092.651.904,188022664703.0,,-4741291385.0,183281373318.0,175191146904.0,,-8098495000.0,167092651904.0
Tổng cộng,Tổng cộng,Tổng cộng,13.361.222.643.914,120.030.830.343,(90.058.610.438),13.391.194.863.819,4.929.938.284.381,388.815.419.562,(296.945.878.082),5.021.807.825.861,13361222643914.0,120030830343.0,-90058610438.0,13391194863819.0,4929938284381.0,388815419562.0,-296945878082.0,5021807825861.0
