row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Tình trạng,% sở hữu,Giá gốc (VND),Dự phòng (VND),% sở hữu_1,Giá gốc (VND)_1,Dự phòng (VND)_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng,numeric__% sở hữu,numeric__Giá gốc (VND),numeric__Dự phòng (VND),numeric__% sở hữu_1,numeric__Giá gốc (VND)_1,numeric__Dự phòng (VND)_1
Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,Kinh doanh bất động sản,Đang hoạt động,100,707.940.300.000,(19.006.384.637),100,703.011.300.000,(19.027.423.595),,,100.0,707940300000.0,-19006384637.0,100.0,703011300000.0,-19027423595.0
Công ty Cổ phần Thương mại Nguyễn Kím Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kím Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kím Đà Nẵng,Kinh doanh bất động sản,Đang hoạt động,"94,68",640.031.966.650,(14.919.963.285),90,608.400.000.000,(28.102.981.787),,,94.68,640031966650.0,-14919963285.0,90.0,608400000000.0,-28102981787.0
Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Kinh doanh bất động sản,Đang hoạt động,74,444.000.000.000,-,74,444.000.000.000,-,,,74.0,444000000000.0,,74.0,444000000000.0,
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Kinh doanh bất động sản,Đang hoạt động,"92,20",293.940.224.000,-,"92,20",293.940.224.000,-,,,92.2,293940224000.0,,92.2,293940224000.0,
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Kinh doanh bất động sản,Đang hoạt động,"99,89",234.112.145.583,(47.465.913.188),"99,89",234.112.145.583,(48.955.476.473),,,99.89,234112145583.0,-47465913188.0,99.89,234112145583.0,-48955476473.0
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Cung cấp dịch vụ,Đang hoạt động,"90,17",145.937.003.328,-,"90,17",145.937.003.328,-,,,90.17,145937003328.0,,90.17,145937003328.0,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Cung cấp dịch vụ,Đang hoạt động,100,70.000.000.000,-,100,70.000.000.000,-,,,100.0,70000000000.0,,100.0,70000000000.0,
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Kinh doanh bất động sản,Đang hoạt động,61,13.443.000.000,(102.428.221),61,13.235.000.000,(97.889.602),,,61.0,13443000000.0,-102428221.0,61.0,13235000000.0,-97889602.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Cung cấp dịch vụ,Đang hoạt động,50,5.000.000.000,-,50,5.000.000.000,(2.061.181.779),,,50.0,5000000000.0,,50.0,5000000000.0,-2061181779.0
Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Cung cấp dịch vụ,Đang hoạt động,100,1.300.000.000,-,100,1.300.000.000,-,,,100.0,1300000000.0,,100.0,1300000000.0,
Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc,Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc,Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc,Kinh doanh bất động sản,Đang hoạt động,100,50.000.000,(38.170.303),100,30.000.000,(30.000.000),,,100.0,50000000.0,-38170303.0,100.0,30000000.0,-30000000.0
TỔNG CÔNG,TỔNG CÔNG,TỔNG CÔNG,,,,2.555.754.639.561,(81.532.859.634),,2.518.965.672.911,(98.274.953.236),,,,2555754639561.0,-81532859634.0,,2518965672911.0,-98274953236.0
