row_label_raw,row_label_full,Khoản vay 1 > Khoản vay 2,Số cuối nămVND > 737.999.994 > 728.222.209,Ngày đáo hạn > 25 tháng 3 năm 2024 > 25 tháng 5 năm 2024,Lãi suất(%/năm) > 8,Mục đích > Mua tài sản cố định,numeric__Số cuối nămVND > 737.999.994 > 728.222.209,numeric__Ngày đáo hạn > 25 tháng 3 năm 2024 > 25 tháng 5 năm 2024,numeric__Lãi suất(%/năm) > 8,numeric__Mục đích > Mua tài sản cố định
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.466.222.203,,,,1466222203.0,,,
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,629.346.280,,,,629346280.0,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,836.875.923,,,,836875923.0,,,
