row_label_raw,row_label_full,Bên liên quan > Ông Nguyễn Đăng Thanh > Ông Bùi Tiến Thắng > Ông Lâm Minh Châu > Ông Vũ Quốc Thái,Mối quan hệ > Chủ tịch HDQT đến ngày 29 tháng 6 năm 2020 > Phó Chủ tịch HDQT đến ngày 26 tháng 4 năm 2021 > Trường TBKT đến ngày 29 tháng 6 năm 2020 > Thành viên HDQT đến ngày 26 tháng 4 năm 2021,Nội dung nghiệp vụ > Trả gốc vayLãi vay > Trả gốc vayLãi vayVay > Trả gốc vayVay > Lãi vayCung cấp dịch vụTrả gốc vayMua dịch vụVayTạm ứngThu hồi tạm ứng,Số cuối năm > - > 1.839.124.801159.676.342- > - > 1.977.774.4611.555.359.222900.000.000110.104.330-,Số đầu năm > 8.750.000.000437.106.166 > 9.175.508.500472.448.8821.939.124.801 > 3.111.729.8121.000.000.000 > 789.163.902-1.855.154.762-18.354.000.0005.143.527.319493.527.319,numeric__Mối quan hệ > Chủ tịch HDQT đến ngày 29 tháng 6 năm 2020 > Phó Chủ tịch HDQT đến ngày 26 tháng 4 năm 2021 > Trường TBKT đến ngày 29 tháng 6 năm 2020 > Thành viên HDQT đến ngày 26 tháng 4 năm 2021,numeric__Nội dung nghiệp vụ > Trả gốc vayLãi vay > Trả gốc vayLãi vayVay > Trả gốc vayVay > Lãi vayCung cấp dịch vụTrả gốc vayMua dịch vụVayTạm ứngThu hồi tạm ứng,numeric__Số cuối năm > - > 1.839.124.801159.676.342- > - > 1.977.774.4611.555.359.222900.000.000110.104.330-,numeric__Số đầu năm > 8.750.000.000437.106.166 > 9.175.508.500472.448.8821.939.124.801 > 3.111.729.8121.000.000.000 > 789.163.902-1.855.154.762-18.354.000.0005.143.527.319493.527.319
Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Tổng Giám đốc,Trả gốc vayLãi vayVay,100.000.0006.357.535-,-100.000.000,,,,-100000000.0
Bà Nguyễn Thị Hằng Nga,Bà Nguyễn Thị Hằng Nga,Bà Nguyễn Thị Hằng Nga,Phó Tổng giám đốc đến ngày 26 tháng 1 năm 2020,Trả gốc vayLãi vay,-,2.000.000.000141.952.054,,,,2.000000000141952e+18
Bà Nguyễn Thị Thanh Thảo,Bà Nguyễn Thị Thanh Thảo,Bà Nguyễn Thị Thanh Thảo,Kế toán trường,Trả gốc vayVayLãi vay,400.000.000150.000.00013.893.155,1.016.442.935396.000.00013.980.727,,,4.0000000015e+25,1.016442935396e+26
Bà Huỳnh Thảo Linh,Bà Huỳnh Thảo Linh,Bà Huỳnh Thảo Linh,Bên liên quan,Bán hàng hóaTrả gốc vayLãi vayThu hồi tạm ứngTạm ứng,25.287.617.64025.000.000.000200.136.986-,-,,,,
