row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số suối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số suối năm
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,31.691.951.001,27.888.017.821,(118.690.235),59.461.278.587,31691951001.0,27888017821.0,-118690235.0,59461278587.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,144.398.929.556,(92.162.566.233),52.236.363.323,,144398929556.0,-92162566233.0,52236363323.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.516.772.975,7.532.440.048,(6.338.288.106),2.710.924.917,1516772975.0,7532440048.0,-6338288106.0,2710924917.0
Thuế và phí khác,Thuế và phí khác,Thuế và phí khác,-,103.536.788,(70.760.676),32.776.112,,103536788.0,-70760676.0,32776112.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,33.208.723.976,179.922.924.213,(98.690.305.250),114.441.342.939,33208723976.0,179922924213.0,-98690305250.0,114441342939.0
