row_label_raw,row_label_full,Cho vay các bên liên quan (Thuyết minh số 33) (i),Số cuối năm > 1.123.238.712.445,VND Số đầu năm > 1.288.592.394.445,numeric__Số cuối năm > 1.123.238.712.445,numeric__VND Số đầu năm > 1.288.592.394.445
Cho vay các bên khác (ii),Cho vay các bên khác (ii),Cho vay các bên khác (ii),216.490.000.000,156.000.000.000,216490000000.0,156000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.339.728.712.445,1.444.592.394.445,1339728712445.0,1444592394445.0
