row_label_raw,row_label_full,Ông VũQuốc Thái,Thành viênHĐQT đếnngày 26 tháng4 năm 2021,Bán hàng hóavà dịch vụ,5.190.726.341,-,numeric__Thành viênHĐQT đếnngày 26 tháng4 năm 2021,numeric__Bán hàng hóavà dịch vụ,numeric__5.190.726.341,numeric__-
Ông TrầnLam Thông,Ông TrầnLam Thông,Ông TrầnLam Thông,Bên liên quan,Bán hàng hóavà dịch vụ,1.918.300.065,-,,,1918300065.0,
Công ty TNHHMTV Kinh doanhDịch vụ Địa ốc SàiGôn Thươngg Tín,Công ty TNHHMTV Kinh doanhDịch vụ Địa ốc SàiGôn Thươngg Tín,Công ty TNHHMTV Kinh doanhDịch vụ Địa ốc SàiGôn Thươngg Tín,Công ty con,Bán hàng hóavà dịch vụ,88.633.449.797,88.633.449.797,,,88633449797.0,88633449797.0
,,,,,95.742.476.203,88.633.449.797,,,95742476203.0,88633449797.0
