row_label_raw,row_label_full,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,"Thành phố Hồ Chí Minh (""TPHCM"")",Đang hoạt động,Kinh doanh bất động sản,"100,00","100,00_1","numeric__Thành phố Hồ Chí Minh (""TPHCM"")",numeric__Đang hoạt động,numeric__Kinh doanh bất động sản,"numeric__100,00","numeric__100,00_1"
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,TPHCM,Đang hoạt động,Bất động sản,"99,89","99,89",,,,99.89,99.89
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,TPHCM,Đang hoạt động,Xây dựng và bất động sản,"92,20","92,20",,,,92.2,92.2
Công ty TNHH Quản lý Dịch vụ Bất động sản Sài Gòn Thương Tín,Công ty TNHH Quản lý Dịch vụ Bất động sản Sài Gòn Thương Tín,Công ty TNHH Quản lý Dịch vụ Bất động sản Sài Gòn Thương Tín,TPHCM,Đang hoạt động,Kinh doanh bất động sản,"50,00","50,00",,,,50.0,50.0
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,TPHCM,Đang hoạt động,Dịch vụ,"90,17","90,17",,,,90.17,90.17
Công ty TNHH Thương Tín – CJ Cầu Tre,Công ty TNHH Thương Tín – CJ Cầu Tre,Công ty TNHH Thương Tín – CJ Cầu Tre,TPHCM,Đang hoạt động,Dịch vụ,"74,00","74,00",,,,74.0,74.0
Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,TPHCM,Đang hoạt động,Bất động sản,"100,00","100,00",,,,100.0,100.0
Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Đà Nẵng,Đang hoạt động,Bất động sản và dịch vụ thương mại,"94,68","94,68",,,,94.68,94.68
Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,TPHCM,Đang hoạt động,Kinh doanh bất động sản,"100,00","100,00",,,,100.0,100.0
Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc,Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc,Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc,Kiên Giang,Đang hoạt động,Bất động sản,"100,00","100,00",,,,100.0,100.0
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,TPHCM,Đang hoạt động,Bất động sản,"61,00","61,00",,,,61.0,61.0
