row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếuquỹ,Quỹ khác,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếuquỹ,numeric__Quỹ khác,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.392.226.750.000,333.257.781.211,-,24.890.292.522,130.291.352.099,482.316.594.875(271.336.280.000),4.362.982.770.707,3392226750000.0,333257781211.0,,24890292522.0,130291352099.0,,4362982770707.0
Phát hành cổ phiếu (*),Năm trước > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),271.336.280.000,-,-,-,-,109.637.136.321,109.637.136.321,271336280000.0,,,,,109637136321.0,109637136321.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,(10.399.011.793),-,,,,,,-10399011793.0,
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,10.399.011.793,-,-,,,,,10399011793.0,,
"Trích quỹ khen thưởng,phúc lợi","Năm trước > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(20.798.023.586),(20.798.023.586),,,,,,-20798023586.0,-20798023586.0
Giảm khác,Năm trước > Giảm khác,Giảm khác,-,-,-,-,-,(4.102.609.572),(4.102.609.572),,,,,,-4102609572.0,-4102609572.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.663.563.030.000,333.257.781.211,-,24.890.292.522,140.690.363.892,285.317.806.245,4.447.719.273.870,3663563030000.0,333257781211.0,,24890292522.0,140690363892.0,285317806245.0,4447719273870.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.663.563.030.000,333.257.781.211,-,24.890.292.522,140.690.363.892,285.317.806.245,4.447.719.273.870,3663563030000.0,333257781211.0,,24890292522.0,140690363892.0,285317806245.0,4447719273870.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,128.711.037.864,128.711.037.864,,,,,,128711037864.0,128711037864.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,5.481.856.816,(5.481.856.816),-,,,,,5481856816.0,-5481856816.0,
"Trích quỹ khen thưởng,phúc lợi","Năm nay > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(10.963.713.632),(10.963.713.632),,,,,,-10963713632.0,-10963713632.0
Chi Hoạt động của HDQT,Năm nay > Chi Hoạt động của HDQT,Chi Hoạt động của HDQT,-,-,-,-,-,(7.147.390.428),(7.147.390.428),,,,,,-7147390428.0,-7147390428.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.663.563.030.000,333.257.781.211,-,24.890.292.522,146.172.220.708,390.435.883.233,4.558.319.207.674,3663563030000.0,333257781211.0,,24890292522.0,146172220708.0,390435883233.0,4558319207674.0
