row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập (*),Thu nhập (*)_1,numeric__Chức vụ,numeric__Thu nhập (*),numeric__Thu nhập (*)_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Bà Nguyễn Thủy Vân,Tên > Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Chủ tịch HDQT,1.233.333.333,466.666.668,,1233333333.0,466666668.0
Ông Nguyễn Đăng Thanh,Tên > Ông Nguyễn Đăng Thanh,Ông Nguyễn Đăng Thanh,Chủ tịch HDQT đến ngày 29 tháng 6 năm 2020,-,1.894.436.260,,,1894436260.0
Ông Võ Quốc Khánh,Tên > Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Phó Chủ tịch HDQT kiểm Tổng Giám đốc,1.841.008.465,-,,1841008465.0,
Ông Bùi Tiến Thắng,Tên > Ông Bùi Tiến Thắng,Ông Bùi Tiến Thắng,Phó Chủ tịch HDQT đến ngày 26 tháng 4 năm 2021,166.666.668,1.619.784.282,,166666668.0,1619784282.0
Ông Nguyễn Thành Chương,Tên > Ông Nguyễn Thành Chương,Ông Nguyễn Thành Chương,Thành viên độc lập HDQT,366.666.663,155.555.554,,366666663.0,155555554.0
Ông Hoàng Mạnh Tiến,Tên > Ông Hoàng Mạnh Tiến,Ông Hoàng Mạnh Tiến,Thành viên độc lập HDQT kiểm Chủ tịch UBKT,299.999.997,-,,299999997.0,
Bà Trần Diệp Phương Nhi,Tên > Bà Trần Diệp Phương Nhi,Bà Trần Diệp Phương Nhi,Thành viên HDQT kiểm thành viên UBKT,500.000.004,-,,500000004.0,
Bà Trần Thiện Thanh Thủy,Tên > Bà Trần Thiện Thanh Thủy,Bà Trần Thiện Thanh Thủy,Thành viên độc lập HDQT kiểm thành viên UBKT đến ngày 26 tháng 4 năm 2021,66.666.666,257.487.920,,66666666.0,257487920.0
Ông Phạm Phú Tuấn,Tên > Ông Phạm Phú Tuấn,Ông Phạm Phú Tuấn,Thành viên HDQT đến ngày 26 tháng 4 năm 2021,-,311.111.109,,,311111109.0
Ông Vũ Quốc Thái,Tên > Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HDQT đến ngày 26 tháng 4 năm 2021,133.333.332,1.467.481.939,,133333332.0,1467481939.0
Ông Lâm Minh Châu,Tên > Ông Lâm Minh Châu,Ông Lâm Minh Châu,Thành viên HDQT kiểm Chủ tịch UBKT đến ngày 29 tháng 6 năm 2020,-,651.578.346,,,651578346.0
Bà Trần Yến Duyên,Tên > Bà Trần Yến Duyên,Bà Trần Yến Duyên,Thành viên HDQT kiểm thành viên UBKT đến ngày 29 tháng 6 năm 2020,-,101.932.366,,,101932366.0
Bà Lê Thị Xuân Đức,Tên > Bà Lê Thị Xuân Đức,Bà Lê Thị Xuân Đức,Thành viên UBKT đến ngày 26 tháng 4 năm 2021,186.092.231,277.749.500,,186092231.0,277749500.0
Bà Phạm Thị Khuế,Tên > Bà Phạm Thị Khuế,Bà Phạm Thị Khuế,Phó Tổng Giám đốc,1.262.724.000,1.147.898.403,,1262724000.0,1147898403.0
Ông Huỳnh Sơn Trung,Tên > Ông Huỳnh Sơn Trung,Ông Huỳnh Sơn Trung,Phó Tổng Giám đốc,346.614.666,-,,346614666.0,
Ông Lê Trần Hồng Phúc,Tên > Ông Lê Trần Hồng Phúc,Ông Lê Trần Hồng Phúc,Phó Tổng Giám đốc đến ngày 31 tháng 3 năm 2020,-,720.970.265,,,720970265.0
,,,,6.403.106.025,9.072.652.612,,6403106025.0,9072652612.0
