row_label_raw,row_label_full,Tên công ty,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Tỷ lệ sở hữu(%),Giá gốc đầu tư(VND),Dự phòng(Tỷ lệ sở hữu(VND),Tỷ lệ sở hữu(%),Giá gốc đầu tư(VND),Dự phòng(VND),,,,,,
"Công ty Cổ phần Đầu tư Bất động sản Kim Thành(""Kim Thành"")","Tên công ty > Công ty Cổ phần Đầu tư Bất động sản Kim Thành(""Kim Thành"")","Công ty Cổ phần Đầu tư Bất động sản Kim Thành(""Kim Thành"")",48,9.600.000.000,-,48,9.600.000.000,-,48.0,9600000000.0,,48.0,9600000000.0,
Công ty Cổ phần Đầu tư SVG (i),Tên công ty > Công ty Cổ phần Đầu tư SVG (i),Công ty Cổ phần Đầu tư SVG (i),50,1.000.000.000,(808.357.704),50,1.000.000.000,(808.357.704),50.0,1000000000.0,-808357704.0,50.0,1000000000.0,-808357704.0
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,10.600.000.000,(808.357.704),,10.600.000.000,(808.357.704),,10600000000.0,-808357704.0,,10600000000.0,-808357704.0
"(i) Mặc dù tỷ lệ sở hữu của Công ty Cổ phần Đầu tư SVG là 50%. Tuy nhiên, dưa trên thỏa thuận của các cổ đông, quyền biểu quyết của Công ty không tương ứng với tỷ lệ sở hữu và Công ty không có quyền kiểm soát. Do đó, Công ty đã phân loại khoản đầu tư này như các khoản đầu tư vào công ty liên kết trong báo cáo tài chính riêng.","(i) Mặc dù tỷ lệ sở hữu của Công ty Cổ phần Đầu tư SVG là 50%. Tuy nhiên, dưa trên thỏa thuận của các cổ đông, quyền biểu quyết của Công ty không tương ứng với tỷ lệ sở hữu và Công ty không có quyền kiểm soát. Do đó, Công ty đã phân loại khoản đầu tư này như các khoản đầu tư vào công ty liên kết trong báo cáo tài chính riêng.","(i) Mặc dù tỷ lệ sở hữu của Công ty Cổ phần Đầu tư SVG là 50%. Tuy nhiên, dưa trên thỏa thuận của các cổ đông, quyền biểu quyết của Công ty không tương ứng với tỷ lệ sở hữu và Công ty không có quyền kiểm soát. Do đó, Công ty đã phân loại khoản đầu tư này như các khoản đầu tư vào công ty liên kết trong báo cáo tài chính riêng.","(i) Mặc dù tỷ lệ sở hữu của Công ty Cổ phần Đầu tư SVG là 50%. Tuy nhiên, dưa trên thỏa thuận của các cổ đông, quyền biểu quyết của Công ty không tương ứng với tỷ lệ sở hữu và Công ty không có quyền kiểm soát. Do đó, Công ty đã phân loại khoản đầu tư này như các khoản đầu tư vào công ty liên kết trong báo cáo tài chính riêng.","(i) Mặc dù tỷ lệ sở hữu của Công ty Cổ phần Đầu tư SVG là 50%. Tuy nhiên, dưa trên thỏa thuận của các cổ đông, quyền biểu quyết của Công ty không tương ứng với tỷ lệ sở hữu và Công ty không có quyền kiểm soát. Do đó, Công ty đã phân loại khoản đầu tư này như các khoản đầu tư vào công ty liên kết trong báo cáo tài chính riêng.","(i) Mặc dù tỷ lệ sở hữu của Công ty Cổ phần Đầu tư SVG là 50%. Tuy nhiên, dưa trên thỏa thuận của các cổ đông, quyền biểu quyết của Công ty không tương ứng với tỷ lệ sở hữu và Công ty không có quyền kiểm soát. Do đó, Công ty đã phân loại khoản đầu tư này như các khoản đầu tư vào công ty liên kết trong báo cáo tài chính riêng.","(i) Mặc dù tỷ lệ sở hữu của Công ty Cổ phần Đầu tư SVG là 50%. Tuy nhiên, dưa trên thỏa thuận của các cổ đông, quyền biểu quyết của Công ty không tương ứng với tỷ lệ sở hữu và Công ty không có quyền kiểm soát. Do đó, Công ty đã phân loại khoản đầu tư này như các khoản đầu tư vào công ty liên kết trong báo cáo tài chính riêng.","(i) Mặc dù tỷ lệ sở hữu của Công ty Cổ phần Đầu tư SVG là 50%. Tuy nhiên, dưa trên thỏa thuận của các cổ đông, quyền biểu quyết của Công ty không tương ứng với tỷ lệ sở hữu và Công ty không có quyền kiểm soát. Do đó, Công ty đã phân loại khoản đầu tư này như các khoản đầu tư vào công ty liên kết trong báo cáo tài chính riêng.","(i) Mặc dù tỷ lệ sở hữu của Công ty Cổ phần Đầu tư SVG là 50%. Tuy nhiên, dưa trên thỏa thuận của các cổ đông, quyền biểu quyết của Công ty không tương ứng với tỷ lệ sở hữu và Công ty không có quyền kiểm soát. Do đó, Công ty đã phân loại khoản đầu tư này như các khoản đầu tư vào công ty liên kết trong báo cáo tài chính riêng.",,,,,,
18.3 Đầu tư góp vốn vào đơn vị khácChi tiết các khoản đầu tư góp vốn vào đơn vị khác như sau:,18.3 Đầu tư góp vốn vào đơn vị khácChi tiết các khoản đầu tư góp vốn vào đơn vị khác như sau:,18.3 Đầu tư góp vốn vào đơn vị khácChi tiết các khoản đầu tư góp vốn vào đơn vị khác như sau:,18.3 Đầu tư góp vốn vào đơn vị khácChi tiết các khoản đầu tư góp vốn vào đơn vị khác như sau:,18.3 Đầu tư góp vốn vào đơn vị khácChi tiết các khoản đầu tư góp vốn vào đơn vị khác như sau:,18.3 Đầu tư góp vốn vào đơn vị khácChi tiết các khoản đầu tư góp vốn vào đơn vị khác như sau:,18.3 Đầu tư góp vốn vào đơn vị khácChi tiết các khoản đầu tư góp vốn vào đơn vị khác như sau:,18.3 Đầu tư góp vốn vào đơn vị khácChi tiết các khoản đầu tư góp vốn vào đơn vị khác như sau:,18.3 Đầu tư góp vốn vào đơn vị khácChi tiết các khoản đầu tư góp vốn vào đơn vị khác như sau:,,,,,,
Tên công ty,Tên công ty,Tên công ty,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
Tên công ty,Tên công ty,Tên công ty,Tỷ lệ sở hữu(%),Giá gốc đầu tư(VND),Dự phòng(Tỷ lệ sở hữu(VND),Tỷ lệ sở hữu(%),Giá gốc đầu tư(VND),Dự phòng(VND),,,,,,
Công ty Cổ phần Khu Công nghiệpThành Thành Công,Tên công ty > Công ty Cổ phần Khu Công nghiệpThành Thành Công,Công ty Cổ phần Khu Công nghiệpThành Thành Công,"11,91",238.186.700.000,-,"11,91",238.186.700.000,-,11.91,238186700000.0,,11.91,238186700000.0,
Công Ty Cổ phần Thương Mại và Xây DươngPhước Tân,Tên công ty > Công Ty Cổ phần Thương Mại và Xây DươngPhước Tân,Công Ty Cổ phần Thương Mại và Xây DươngPhước Tân,"9,88",153.632.675.000,-,-,-,-,9.88,153632675000.0,,,,
