row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,,,
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Phải trả khác ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty con,Chi phí đến bù của dự án,9.082.000.000,5.221.000.000,,,9082000000.0,5221000000.0
Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Phải trả khác ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Đầu tư khác,Góp vốn dự án,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HDQT đến ngày 26 tháng 4 năm 2021,Đặt cọc mua căn hộ,,,,,,
Ông Vũ Quốc Thái,Ông Vũ Quốc Thái > Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HDQT đến ngày 26 tháng 4 năm 2021,Đặt cọc mua căn hộ,1.116.057.747,1.038.843.225,,,1116057747.0,1038843225.0
Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Ông Vũ Quốc Thái > Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Công ty liên kết,Lãi vay,1.063.042.465,734.542.465,,,1063042465.0,734542465.0
Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,Ông Vũ Quốc Thái > Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,Công ty con,Thu hộ,968.938.757,-,,,968938757.0,
Ông Trần Lam Thông,Ông Vũ Quốc Thái > Ông Trần Lam Thông,Ông Trần Lam Thông,Bên liên quan,Thu hộ,695.000.000,13.789.678.034,,,695000000.0,13789678034.0
Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Ông Vũ Quốc Thái > Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty con,Hợp tác kinh doanh,640.553.705,17.101.500.000,,,640553705.0,17101500000.0
Công ty TNHH Thương Tín - CJ,Ông Vũ Quốc Thái > Công ty TNHH Thương Tín - CJ,Công ty TNHH Thương Tín - CJ,Công ty con,Thu hộ,539.000.000,-,,,539000000.0,
Công ty TNHH MTV TTC Land Retail Management,Ông Vũ Quốc Thái > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty con,Lãi vay,177.675.208,151.875.207,,,177675208.0,151875207.0
Bà Huỳnh Thảo Linh,Ông Vũ Quốc Thái > Bà Huỳnh Thảo Linh,Bà Huỳnh Thảo Linh,Bên liên quan,Thu hộ,-,34.145.765.000,,,,34145765000.0
Bà Nguyễn Thủy Vân,Ông Vũ Quốc Thái > Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Chủ tịch HDQT,Đặt cọc mua căn hộ,-,2.870.049.285,,,,2870049285.0
