row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,249.090.909,1.178.642.206,12.196.559.860,13.624.292.975,249090909.0,1178642206.0,12196559860.0,13624292975.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,479.426.000,479.426.000,,,479426000.0,479426000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,249.090.909,1.178.642.206,12.675.985.860,14.103.718.975,249090909.0,1178642206.0,12675985860.0,14103718975.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,249.090.909,1.012.671.216,6.736.544.260,7.998.306.385,249090909.0,1012671216.0,6736544260.0,7998306385.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(228.333.336),(1.100.267.011),(9.749.782.834),(11.078.383.181),-228333336.0,-1100267011.0,-9749782834.0,-11078383181.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(20.757.573),(55.323.660),(1.043.761.290),(1.119.842.523),-20757573.0,-55323660.0,-1043761290.0,-1119842523.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(249.090.909),(1.155.590.671),(10.793.544.124),(12.198.225.704),-249090909.0,-1155590671.0,-10793544124.0,-12198225704.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,20.757.573,78.375.195,2.446.777.026,2.545.909.794,20757573.0,78375195.0,2446777026.0,2545909794.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,23.051.535,1.882.441.736,1.905.493.271,,23051535.0,1882441736.0,1905493271.0
