row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khác ngắn hạn (tiếp theo),Phải thu khác ngắn hạn (tiếp theo),Phải thu khác ngắn hạn (tiếp theo),Phải thu khác ngắn hạn (tiếp theo),Phải thu khác ngắn hạn (tiếp theo),Phải thu khác ngắn hạn (tiếp theo),Phải thu khác ngắn hạn (tiếp theo),,,,
Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Phải thu khác ngắn hạn (tiếp theo) > Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty trong cùng Tập đoàn,Lãi cho vay,2.981.200.719,2.915.416.044,,,2981200719.0,2915416044.0
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Phải thu khác ngắn hạn (tiếp theo) > Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Bên liên quan,Lãi cho vay,2.523.400.671,1.856.698.313,,,2523400671.0,1856698313.0
Công ty Cổ phần Mai Lan,Phải thu khác ngắn hạn (tiếp theo) > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty con,Lãi cho vay,1.493.117.811,-,,,1493117811.0,
Công ty TNHH Dịch vụ Quản lý Bắt động sản Sài Gòn Thương Tín,Phải thu khác ngắn hạn (tiếp theo) > Công ty TNHH Dịch vụ Quản lý Bắt động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bắt động sản Sài Gòn Thương Tín,Công ty con,Chỉ hộ,884.239.054,1.031.757.132,,,884239054.0,1031757132.0
Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Phải thu khác ngắn hạn (tiếp theo) > Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Bên liên quan,Lãi cho vay,179.190.000,179.190.000,,,179190000.0,179190000.0
Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Phải thu khác ngắn hạn (tiếp theo) > Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Công ty trong cùng Tập đoàn,Khác,61.397.275,61.397.275,,,61397275.0,61397275.0
Công ty Cổ phần Bao bì - Kho bãi Bình Tây,Phải thu khác ngắn hạn (tiếp theo) > Công ty Cổ phần Bao bì - Kho bãi Bình Tây,Công ty Cổ phần Bao bì - Kho bãi Bình Tây,Bên liên quan,Khác,50.000.000,-,,,50000000.0,
Ông Nguyễn Hữu Đạt,Phải thu khác ngắn hạn (tiếp theo) > Ông Nguyễn Hữu Đạt,Ông Nguyễn Hữu Đạt,Bên liên quan,Tạm ứng cho công tác đến bù đất,20.000.000,19.328.525.169,,,20000000.0,19328525169.0
Công ty Cổ phần Đầu tư SVG,Phải thu khác ngắn hạn (tiếp theo) > Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Công ty liên kết,Khác,20.000.000,20.000.000,,,20000000.0,20000000.0
Ông Vũ Quốc Thái,Phải thu khác ngắn hạn (tiếp theo) > Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HDQT đến ngày 26 tháng 4 năm 2021,Tạm ứng cho công tác đến bù đất,-,5.000.000.000,,,,5000000000.0
Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng,Phải thu khác ngắn hạn (tiếp theo) > Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty liên kết,Lãi cho vay,16.386.987,602.671.233,,,16386987.0,602671233.0
Công ty TNHH MTV Đầu tư Phát triển Bắt động sản Hùng Anh Năm,Phải thu khác ngắn hạn (tiếp theo) > Công ty TNHH MTV Đầu tư Phát triển Bắt động sản Hùng Anh Năm,Công ty TNHH MTV Đầu tư Phát triển Bắt động sản Hùng Anh Năm,Công ty con,Tạm ứng cho công tác đến bù đất,-,630.000.000,,,,630000000.0
