row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay ngắn hạn (tiếp theo),Phải thu về cho vay ngắn hạn (tiếp theo),Phải thu về cho vay ngắn hạn (tiếp theo),Phải thu về cho vay ngắn hạn (tiếp theo),Phải thu về cho vay ngắn hạn (tiếp theo),Phải thu về cho vay ngắn hạn (tiếp theo),Phải thu về cho vay ngắn hạn (tiếp theo),,,,
Công ty Cổ phần Thành Thành Nam,Phải thu về cho vay ngắn hạn (tiếp theo) > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty trong cùng Tập đoàn,Cho vay,47.912.018.000,88.500.000.000,,,47912018000.0,88500000000.0
Công ty Cổ phần Mai Lan,Phải thu về cho vay ngắn hạn (tiếp theo) > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty con,Cho vay,33.636.000.000,-,,,33636000000.0,
Công ty Cổ phần Năng lượng TTC,Phải thu về cho vay ngắn hạn (tiếp theo) > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty trong cùng Tập đoàn,Cho vay,24.000.000.000,-,,,24000000000.0,
Công ty Cổ phần Toàn Hải Vân,Phải thu về cho vay ngắn hạn (tiếp theo) > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty trong cùng Tập đoàn,Cho vay,21.500.000.000,28.000.000.000,,,21500000000.0,28000000000.0
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Phải thu về cho vay ngắn hạn (tiếp theo) > Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Bên liên quan,Cho vay,6.525.694.445,6.525.694.445,,,6525694445.0,6525694445.0
Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng,Phải thu về cho vay ngắn hạn (tiếp theo) > Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty liên kết,Cho vay,825.000.000,86.100.000.000,,,825000000.0,86100000000.0
,,,,,1.123.238.712.445,1.288.592.394.445,,,1123238712445.0,1288592394445.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Ông Vũ Quốc Thái,Vay ngắn hạn > Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HDQT đến ngày 26 tháng 4 năm 2021,Vay,15.598.845.238,16.498.845.238,,,15598845238.0,16498845238.0
Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Vay ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Công ty lên kết,Vay,7.300.000.000,7.300.000.000,,,7300000000.0,7300000000.0
Công ty TNHH MTV TTC Land Retail Management,Vay ngắn hạn > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty con,Vay,430.000.000,430.000.000,,,430000000.0,430000000.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Vay ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con,Vay,-,900.000.000,,,,900000000.0
Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Vay ngắn hạn > Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Vay,-,600.000.000,,,,600000000.0
Ông Bùi Tiến Thắng,Vay ngắn hạn > Ông Bùi Tiến Thắng,Ông Bùi Tiến Thắng,Phó Chủ tịch HDQT đến ngày 26 tháng 4 năm 2021,Vay,-,1.839.124.801,,,,1839124801.0
Ông Võ Quốc Khánh Bà Nguyễn Thị Thanh Thảo,Vay ngắn hạn > Ông Võ Quốc Khánh Bà Nguyễn Thị Thanh Thảo,Ông Võ Quốc Khánh Bà Nguyễn Thị Thanh Thảo,Tổng Giám đốc Kế toán trường,Vay,-,100.000.000,,,,100000000.0
,,,,,-,250.000.000,,,,250000000.0
,,,,,23.328.845.238,27.917.970.039,,,23328845238.0,27917970039.0
