row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,,699.211.698.323,1.058.723.073.994,1.0,,699211698323.0,1058723073994.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,1.185.485,2.0,,,1185485.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,26,699.211.698.323,1.058.721.888.509,10.0,26.0,699211698323.0,1058721888509.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,27,379.561.053.708,742.143.962.387,11.0,27.0,379561053708.0,742143962387.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,319.650.644.615,316.577.926.122,20.0,,319650644615.0,316577926122.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,28,303.084.127.972,302.072.898.747,21.0,28.0,303084127972.0,302072898747.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,29,253.267.831.146,277.781.669.921,22.0,29.0,253267831146.0,277781669921.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,228.136.583.441,287.399.089.090,23.0,,228136583441.0,287399089090.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,(84.689.760),(17.768.830),24.0,,-84689760.0,-17768830.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,30,62.307.692,6.996.486.968,25.0,30.0,62307692.0,6996486968.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,30,(76.859.805.664),374.123.722.931,26.0,30.0,-76859805664.0,374123722931.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,446.179.749.653,(40.268.823.781),30.0,,446179749653.0,-40268823781.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,31,112.049.344,321.008.259.964,31.0,31.0,112049344.0,321008259964.0
Chi phí khác,Chi phí khác,Chi phí khác,32,32,18.824.636.956,19.644.008.743,32.0,32.0,18824636956.0,19644008743.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,(18.712.587.612),301.364.251.221,40.0,,-18712587612.0,301364251221.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,427.467.162.041,261.095.427.440,50.0,,427467162041.0,261095427440.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,34,14.320.222.176,17.516.606.844,51.0,34.0,14320222176.0,17516606844.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,(4.050.100.605),(452.387.860),52.0,,-4050100605.0,-452387860.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,417.197.040.470,244.031.208.456,60.0,,417197040470.0,244031208456.0
Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,61,,364.693.362.743,207.913.506.193,61.0,,364693362743.0,207913506193.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,52.503.677.727,36.117.702.263,62.0,,52503677727.0,36117702263.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,35,1.218,695,70.0,35.0,1218.0,695.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,35,1.218,695,71.0,35.0,1218.0,695.0
