row_label_raw,row_label_full,Ông Nguyễn Tường Cọt,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Phạm Minh Việt,Ông Phạm Minh Việt,Ông Phạm Minh Việt,Phó Tổng Giám đốc,
Ông Trần Văn Phương,Ông Trần Văn Phương,Ông Trần Văn Phương,Phó Tổng Giám đốc,
Ông Đỗ Thành Nhân,Ông Đỗ Thành Nhân,Ông Đỗ Thành Nhân,Trường phòng TC-KT kiểm Phụ trách kế toán,
