row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,"Tỷ lệ lợi ích, quyền biểu quyết",Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,"numeric__Tỷ lệ lợi ích, quyền biểu quyết",numeric__Hoạt động kinh doanh chính
Công ty CP BOT & BT Đức Long Gia Lai,Công ty CP BOT & BT Đức Long Gia Lai,Công ty CP BOT & BT Đức Long Gia Lai,Gia Lai,"73,5%",Vận hành công trình giao thông theo hình thức BOT,,0.735,
Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,Gia Lai,"93,35%",Vận hành nhà máy thủy điện,,0.9335,
