row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2025 VND,01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__01/01/2025 VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,3.220.487.871.868,3.596.496.122.813,300.0,,3220487871868.0,3596496122813.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,2.002.560.856.225,2.093.435.831.695,310.0,,2002560856225.0,2093435831695.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,18,140.398.582.973,206.705.361.815,311.0,18.0,140398582973.0,206705361815.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,19,1.309.001.374,1.313.631.920,312.0,19.0,1309001374.0,1313631920.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,22,37.223.720.469,37.477.100.397,313.0,22.0,37223720469.0,37477100397.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,3.137.086.901,3.117.708.247,314.0,,3137086901.0,3117708247.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,20,363.652.901.763,313.723.889.789,315.0,20.0,363652901763.0,313723889789.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,257.603.909,390.797.909,318.0,,257603909.0,390797909.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,21,748.136.090.044,664.157.753.370,319.0,21.0,748136090044.0,664157753370.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,23,706.648.173.400,864.746.892.856,320.0,23.0,706648173400.0,864746892856.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,1.797.695.392,1.802.695.392,322.0,,1797695392.0,1802695392.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,1.217.927.015.643,1.503.060.291.118,330.0,,1217927015643.0,1503060291118.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,21,130.000.000,130.000.000,337.0,21.0,130000000.0,130000000.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,23,1.154.060.000.000,1.433.391.403.555,338.0,23.0,1154060000000.0,1433391403555.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,,63.737.015.643,69.538.887.563,341.0,,63737015643.0,69538887563.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,24,995.422.432.719,751.873.345.995,400.0,24.0,995422432719.0,751873345995.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,995.422.432.719,751.873.345.995,410.0,,995422432719.0,751873345995.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,2.993.097.200.000,2.993.097.200.000,411.0,,2993097200000.0,2993097200000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.993.097.200.000,2.993.097.200.000,,,2993097200000.0,2993097200000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,50.510.908.328,50.510.908.328,412.0,,50510908328.0,50510908328.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,6.196.436.959,6.196.436.959,418.0,,6196436959.0,6196436959.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,(2.091.772.642.277),(2.456.466.005.020),421.0,,-2091772642277.0,-2456466005020.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,(2.456.466.005.020),(2.664.379.511.213),,,-2456466005020.0,-2664379511213.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,364.693.362.743,207.913.506.193,,,364693362743.0,207913506193.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,37.390.529.709,158.534.805.728,429.0,,37390529709.0,158534805728.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,4.215.910.304.587,4.348.369.468.808,440.0,,4215910304587.0,4348369468808.0
