row_label_raw,row_label_full,Năm 2024,Buôn bán linh kiện điện tử VND,Đá Granitte VND,Điện thương phẩm VND,"Bán gỗ, thành phẩm từ gỗ VND",Bán phân bón VND,Dịch vụ trạm thu phí BOT VND,Cho thuê tài sản VND,Cộng VND,numeric__Buôn bán linh kiện điện tử VND,numeric__Đá Granitte VND,numeric__Điện thương phẩm VND,"numeric__Bán gỗ, thành phẩm từ gỗ VND",numeric__Bán phân bón VND,numeric__Dịch vụ trạm thu phí BOT VND,numeric__Cho thuê tài sản VND,numeric__Cộng VND
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,457.984.364.747,10.269.410.000,61.451.083.661,38.200.000,,524.726.302.829,4.252.527.272,1.058.721.888.509,457984364747.0,10269410000.0,61451083661.0,38200000.0,,524726302829.0,4252527272.0,1058721888509.0
Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,457.984.364.747,10.269.410.000,61.451.083.661,38.200.000,-,524.726.302.829,4.252.527.272,1.058.721.888.509,457984364747.0,10269410000.0,61451083661.0,38200000.0,,524726302829.0,4252527272.0,1058721888509.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,387.785.000.106,10.068.383.309,41.465.331.280,31.240.660.567,,267.525.062.062,4.059.525.063,742.143.962.387,387785000106.0,10068383309.0,41465331280.0,31240660567.0,,267525062062.0,4059525063.0,742143962387.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,70.199.364.641,201.026.691,19.985.752.381,(31.202.460.567),-,257.201.240.767,193.002.209,316.577.926.122,70199364641.0,201026691.0,19985752381.0,-31202460567.0,,257201240767.0,193002209.0,316577926122.0
Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,,,,,,,,381.120.209.899,,,,,,,,381120209899.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,,(64.542.283.777),,,,,,,,-64542283777.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,302.072.898.747,,,,,,,,302072898747.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,277.781.669.921,,,,,,,,277781669921.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,,(17.768.830),,,,,,,,-17768830.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,,321.008.259.964,,,,,,,,321008259964.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,,,19.644.008.743,,,,,,,,19644008743.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,,17.516.606.844,,,,,,,,17516606844.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,,(452.387.860),,,,,,,,-452387860.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,244.031.208.456,,,,,,,,244031208456.0
Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,,,,,,4.348.369.468.808,,,,,,,,4348369468808.0
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,3.596.496.122.813,,,,,,,,3596496122813.0
