row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,81.652.795,397.684.000,479.336.795,81652795.0,397684000.0,479336795.0
- Thanh lý Công ty con 31/12/2025,NGUYÊN GIÁ > - Thanh lý Công ty con 31/12/2025,- Thanh lý Công ty con 31/12/2025,-,(80.000.000),(80.000.000),,-80000000.0,-80000000.0
- Thanh lý Công ty con 31/12/2025,NGUYÊN GIÁ > - Thanh lý Công ty con 31/12/2025,- Thanh lý Công ty con 31/12/2025,81.652.795,317.684.000,399.336.795,81652795.0,317684000.0,399336795.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > 01/01/2025,01/01/2025,81.652.795,397.684.000,479.336.795,81652795.0,397684000.0,479336795.0
- Thanh lý Công ty con 31/12/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > - Thanh lý Công ty con 31/12/2025,- Thanh lý Công ty con 31/12/2025,-,(80.000.000),(80.000.000),,-80000000.0,-80000000.0
- Thanh lý Công ty con 31/12/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > - Thanh lý Công ty con 31/12/2025,- Thanh lý Công ty con 31/12/2025,81.652.795,317.684.000,399.336.795,81652795.0,317684000.0,399336795.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
01/01/2025,01/01/2025,01/01/2025,-,-,-,,,
31/12/2025,31/12/2025,31/12/2025,-,-,-,,,
