row_label_raw,row_label_full,TT,Bên liên quan,Môi quan hệ,numeric__Bên liên quan,numeric__Môi quan hệ
1,1,1,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty liên kết,,
2,2,2,Công ty CP BOT&BT Đức Long Đắk Nông,Bên liên quan với người nội bộ,,
3,3,3,Công ty CP năng lượng điện gió CP1 Wind,Công ty liên kết,,
4,4,4,Công ty CP năng lượng điện gió CP2 Wind,Công ty liên kết,,
5,5,5,Công ty CP năng lượng điện mặt trời CP3 Solar,Công ty liên kết,,
6,6,6,Công ty CP năng lượng điện mặt trời Chư Puh 4 Solar,Công ty liên kết,,
7,7,7,Công ty CP Dịch vụ Công Cộng Đức Long Bảo Lộc,Công ty góp vốn khác,,
8,8,8,Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Chung thành viên lãnh đạo,,
9,9,9,Công ty CP Tập đoàn Alpha Seven,Chung cổ đông lớn,,
10,10,10,Công ty TNHH Cung ứng vật tư nguyên liệu Tây Nguyên,Công ty góp vốn khác,,
11,11,11,Công ty CP Công nghiệp Khai thác Chế biến đá Tây Nguyên,Bên liên quan của người nội bộ,,
12,12,12,Công ty CP Khoáng sản và luyện kim Tây Nguyên,Bên liên quan của người nội bộ,,
13,13,13,Ông Bùi Pháp,Chủ tịch HĐQT,,
14,14,14,Bà Nguyễn Thị Hương,Người có liên quan đến Ông Bùi Pháp,,
15,15,15,Ông Vũ Văn Tin,Trường ban kiểm soát,,
