row_label_raw,row_label_full,Năm 2025,Buôn bán linh kiện điện tử VND,Đá Granitte VND,Điện thương phẩm VND,"Bán gỗ, thành phẩm từ gỗ VND",Bán phân bón VND,Dịch vụ trạm thu phí BOT VND,Cho thuê tài sản VND,Cộng VND,numeric__Buôn bán linh kiện điện tử VND,numeric__Đá Granitte VND,numeric__Điện thương phẩm VND,"numeric__Bán gỗ, thành phẩm từ gỗ VND",numeric__Bán phân bón VND,numeric__Dịch vụ trạm thu phí BOT VND,numeric__Cho thuê tài sản VND,numeric__Cộng VND
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,-,22.122.048.000,75.309.241.265,-,19.370.360.000,577.979.010.967,4.431.038.091,699.211.698.323,,22122048000.0,75309241265.0,,19370360000.0,577979010967.0,4431038091.0,699211698323.0
Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,-,22.122.048.000,75.309.241.265,-,19.370.360.000,577.979.010.967,4.431.038.091,699.211.698.323,,22122048000.0,75309241265.0,,19370360000.0,577979010967.0,4431038091.0,699211698323.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,-,21.782.054.668,45.022.619.877,9.171.742.104,19.262.308.000,280.552.307.140,3.770.021.919,379.561.053.708,,21782054668.0,45022619877.0,9171742104.0,19262308000.0,280552307140.0,3770021919.0,379561053708.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,-,339.993.332,30.286.621.388,(9.171.742.104),108.052.000,297.426.703.827,661.016.172,319.650.644.615,,339993332.0,30286621388.0,-9171742104.0,108052000.0,297426703827.0,661016172.0,319650644615.0
Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,,,,,,,,(76.797.497.972),,,,,,,,-76797497972.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,,396.448.142.587,,,,,,,,396448142587.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,303.084.127.972,,,,,,,,303084127972.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,253.267.831.146,,,,,,,,253267831146.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,,(84.689.760),,,,,,,,-84689760.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,,112.049.344,,,,,,,,112049344.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,,,18.824.636.956,,,,,,,,18824636956.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,14.320.222.176,,,,,,,,14320222176.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,,(4.050.100.605),,,,,,,,-4050100605.0
Lợi nhuận sau thuế thu nhập doanh,Lợi nhuận sau thuế thu nhập doanh,Lợi nhuận sau thuế thu nhập doanh,,,,,,,,417.197.040.470,,,,,,,,417197040470.0
Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,,,,,,4.215.910.304.587,,,,,,,,4215910304587.0
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,3.220.487.871.868,,,,,,,,3220487871868.0
