row_label_raw,row_label_full,Bên liên quan (Thuyết minh 30(b)),Tại ngàyđầu nămVND > Bên liên quan (Thuyết minh 30(b)),Chỉ cho vayVND > Bên liên quan (Thuyết minh 30(b)),Thu hồi nợ vayVND > Bên liên quan (Thuyết minh 30(b)),Tại ngàycuối nămVND > Bên liên quan (Thuyết minh 30(b)),numeric__Tại ngàyđầu nămVND > Bên liên quan (Thuyết minh 30(b)),numeric__Chỉ cho vayVND > Bên liên quan (Thuyết minh 30(b)),numeric__Thu hồi nợ vayVND > Bên liên quan (Thuyết minh 30(b)),numeric__Tại ngàycuối nămVND > Bên liên quan (Thuyết minh 30(b))
Công ty Cổ phần Nhà máyĐiện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máyĐiện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máyĐiện Mặt trời Trúc Sơn,-,163.000.000.000,(107.000.000.000),56.000.000.000,,163000000000.0,-107000000000.0,56000000000.0
Công ty Cổ phần Điện Mặt trờiTTC Đức Huệ -Long An,Công ty Cổ phần Điện Mặt trờiTTC Đức Huệ -Long An,Công ty Cổ phần Điện Mặt trờiTTC Đức Huệ -Long An,-,50.500.000.000,-,50.500.000.000,,50500000000.0,,50500000000.0
Công ty Cổ phần Thủy điệnTrường Phú,Công ty Cổ phần Thủy điệnTrường Phú,Công ty Cổ phần Thủy điệnTrường Phú,-,20.000.000.000,-,20.000.000.000,,20000000000.0,,20000000000.0
Cổ phần Biên Hòa -Thành Long,Cổ phần Biên Hòa -Thành Long,Cổ phần Biên Hòa -Thành Long,-,2.900.000.000,-,2.900.000.000,,2900000000.0,,2900000000.0
Công ty TNHH Một thànhviên Tư vấn và Phát triểnNăng lượng Gia Lai,Công ty TNHH Một thànhviên Tư vấn và Phát triểnNăng lượng Gia Lai,Công ty TNHH Một thànhviên Tư vấn và Phát triểnNăng lượng Gia Lai,-,800.000.000,-,800.000.000,,800000000.0,,800000000.0
Công ty TNHH Một thành viênXây lắp và Cơ diện Gia Lai,Công ty TNHH Một thành viênXây lắp và Cơ diện Gia Lai,Công ty TNHH Một thành viênXây lắp và Cơ diện Gia Lai,1.291.000.000,4.700.000.000,(5.991.000.000),-,1291000000.0,4700000000.0,-5991000000.0,
Công ty Cổ phần Điện TTCĐức Huệ - Long An,Công ty Cổ phần Điện TTCĐức Huệ - Long An,Công ty Cổ phần Điện TTCĐức Huệ - Long An,-,2.900.000.000,(2.900.000.000),-,,2900000000.0,-2900000000.0,
Công ty Cổ phần Thủy điệnGia Lai,Công ty Cổ phần Thủy điệnGia Lai,Công ty Cổ phần Thủy điệnGia Lai,-,9.800.000.000,(9.800.000.000),-,,9800000000.0,-9800000000.0,
,,,1.291.000.000,254.600.000.000,(125.691.000.000),130.200.000.000,1291000000.0,254600000000.0,-125691000000.0,130200000000.0
