row_label_raw,row_label_full,col_0,Giá trị hợp lý,Số cuối năm > Giá gốcVND,Số cuối năm > Ti lệ sở hữu%,Số cuối năm > Dự phòngVND,Số đầu năm > Giá gốcVND,Số đầu năm > Ti lệ sở hữu%,Số đầu năm > Dự phòngVND,numeric__Giá trị hợp lý,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Ti lệ sở hữu%,numeric__Số cuối năm > Dự phòngVND,numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Ti lệ sở hữu%,numeric__Số đầu năm > Dự phòngVND
Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,(*),170.882.130.932,"58,10",-,170.882.130.932,"58,10",-,,170882130932.0,58.1,,170882130932.0,58.1,
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,(**),81.206.201.240,"100,00",(4.157.592.956),81.206.201.240,"100,00",(2.376.857.615),,81206201240.0,100.0,-4157592956.0,81206201240.0,100.0,-2376857615.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,(**),17.197.314.737,"100,00",-,17.197.314.737,"100,00",-,,17197314737.0,100.0,,17197314737.0,100.0,
Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,(**),5.880.000.000,"65,33",(84.847.306),5.880.000.000,"65,33",-,,5880000000.0,65.33,-84847306.0,5880000000.0,65.33,
Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,(**),2.550.000.000,"100,00",(103.558.951),2.550.000.000,"100,00",(23.227.970),,2550000000.0,100.0,-103558951.0,2550000000.0,100.0,-23227970.0
Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,(**),2.550.000.000,"100,00",(10.969.397),2.550.000.000,"100,00",(47.319.428),,2550000000.0,100.0,-10969397.0,2550000000.0,100.0,-47319428.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An (i),Công ty Cổ phần Điện TTC Đức Huệ - Long An (i),Công ty Cổ phần Điện TTC Đức Huệ - Long An (i),(**),379.296.000.000,"99,94",-,82.620.000.000,"51,00",(20.381.447),,379296000000.0,99.94,,82620000000.0,51.0,-20381447.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An (ii),Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An (ii),Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An (ii),(**),165.240.000.000,"66,14",(389.803.237),2.550.000.000,"83,61",-,,165240000000.0,66.14,-389803237.0,2550000000.0,83.61,
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,(**),1.500.000.000,"100,00",-,1.500.000.000,"100,00",-,,1500000000.0,100.0,,1500000000.0,100.0,
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn (iii),Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn (iii),Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn (iii),(**),301.864.250.000,"99,96",-,-,-,-,,301864250000.0,99.96,,,,
Công ty Cổ phần Năng lượng VPL (iv),Công ty Cổ phần Năng lượng VPL (iv),Công ty Cổ phần Năng lượng VPL (iv),(**),179.800.000.000,"89,90",(117.711.381),-,-,-,,179800000000.0,89.9,-117711381.0,,,
,,,,1.307.965.896.909,,(4.864.483.228),366.935.646.909,,(2.467.786.460),,1307965896909.0,,-4864483228.0,366935646909.0,,-2467786460.0
