row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ (Thuyết minh 10(a)) > Chuyển sang TSCĐ (Thuyết minh 10(b)) > Chuyển sang chi phí trả trước (Thuyết minh 9),Năm nay VND > 15.186.876.903 > 172.426.386.716 > (173.314.749.478) > (5.217.150.600) > -,Năm trước VND > 18.577.242.888 > 1.853.405.980.335 > (1.847.882.423.294) > (376.558.176),numeric__Năm nay VND > 15.186.876.903 > 172.426.386.716 > (173.314.749.478) > (5.217.150.600) > -,numeric__Năm trước VND > 18.577.242.888 > 1.853.405.980.335 > (1.847.882.423.294) > (376.558.176)
Chuyển nhượng dự án điện mặt trời Bình Thuận - TTC Hàm Phú 2,Chuyển nhượng dự án điện mặt trời Bình Thuận - TTC Hàm Phú 2,Chuyển nhượng dự án điện mặt trời Bình Thuận - TTC Hàm Phú 2,-,(8.231.853.000),,-8231853000.0
Khác,Khác,Khác,(712.884.052),(305.511.850),-712884052.0,-305511850.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,8.368.479.489,15.186.876.903,8368479489.0,15186876903.0
