row_label_raw,row_label_full,TSCD,TSCD_1,TSCD_2,TSCD_3,TSCD_4,TSCD_5,TSCD_6,numeric__TSCD_1,numeric__TSCD_2,numeric__TSCD_3,numeric__TSCD_4,numeric__TSCD_5,numeric__TSCD_6
,,,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,706.658.678.481,1.871.816.201.659,125.590.715.180,35.852.465.957,172.921.153.549,2.912.839.214.826,706658678481.0,1871816201659.0,125590715180.0,35852465957.0,172921153549.0,2912839214826.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,266.022.995,2.839.126.000,1.980.325.454,4.187.137.666,2.507.432.091,11.780.044.206,266022995.0,2839126000.0,1980325454.0,4187137666.0,2507432091.0,11780044206.0
Chuyển từ xây dựng cơ bản đở dang (Thuyết minh 11),Nguyên giá > Chuyển từ xây dựng cơ bản đở dang (Thuyết minh 11),Chuyển từ xây dựng cơ bản đở dang (Thuyết minh 11),105.310.383.044,4.499.437.427,35.860.753.125,25.229.707.765,2.414.468.117,173.314.749.478,105310383044.0,4499437427.0,35860753125.0,25229707765.0,2414468117.0,173314749478.0
Phân loại lai do quyết toán dự án,Nguyên giá > Phân loại lai do quyết toán dự án,Phân loại lai do quyết toán dự án,233.752.745.582,(123.382.170.399),51.711.562.177,(25.544.152.954),(136.537.984.406),-,233752745582.0,-123382170399.0,51711562177.0,-25544152954.0,-136537984406.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(6.175.762.773),-,-,(6.175.762.773),,,-6175762773.0,,,-6175762773.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(192.600.000),-,-,-,(192.600.000),,-192600000.0,,,,-192600000.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,1.045.987.830.102,1.755.579.994.687,208.967.593.163,39.725.158.434,41.305.069.351,3.091.565.645.737,1045987830102.0,1755579994687.0,208967593163.0,39725158434.0,41305069351.0,3091565645737.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2019,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,179.945.755.058,126.687.766.434,53.191.731.020,4.487.290.768,8.710.352.294,373.022.895.574,179945755058.0,126687766434.0,53191731020.0,4487290768.0,8710352294.0,373022895574.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,51.279.213.574,90.066.435.349,12.983.112.622,4.367.112.613,2.061.997.865,160.757.872.023,51279213574.0,90066435349.0,12983112622.0,4367112613.0,2061997865.0,160757872023.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(3.769.792.146),-,-,(3.769.792.146),,,-3769792146.0,,,-3769792146.0
Giảm khác,Hao mòn lũy kế > Giảm khác,Giảm khác,-,(76.237.500),-,-,-,(76.237.500),,-76237500.0,,,,-76237500.0
Tại ngày cuối năm,Hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,231.224.968.632,216.677.964.283,62.405.051.496,8.854.403.381,10.772.350.159,529.934.737.951,231224968632.0,216677964283.0,62405051496.0,8854403381.0,10772350159.0,529934737951.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,526.712.923.423,1.745.128.435.225,72.398.984.160,31.365.175.189,164.210.801.255,2.539.816.319.252,526712923423.0,1745128435225.0,72398984160.0,31365175189.0,164210801255.0,2539816319252.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,814.762.861.470,1.538.902.030.404,146.562.541.667,30.870.755.053,30.532.719.192,2.561.630.907.786,814762861470.0,1538902030404.0,146562541667.0,30870755053.0,30532719192.0,2561630907786.0
