row_label_raw,row_label_full,(b) > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số dư cuối năm với các bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số dư cuối năm với các bên liên quan > Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số dư cuối năm với các bên liên quan > Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số dư cuối năm với các bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số dư cuối năm với các bên liên quan > Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số dư cuối năm với các bên liên quan > Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4)
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,20.498.721.247,,17.564.776.141,20498721247.0,,17564776141.0
Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,16.695.096.000,,346.500.000,16695096000.0,,346500000.0
Công ty Cổ phần Điện TTC Đức Huệ -Long An,Công ty Cổ phần Điện TTC Đức Huệ -Long An,Công ty Cổ phần Điện TTC Đức Huệ -Long An,2.277.561.000,,-,2277561000.0,,
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,1.922.316.000,,-,1922316000.0,,
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,995.773.038,,952.342.422,995773038.0,,952342422.0
Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,688.932.474,,175.065.823,688932474.0,,175065823.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,461.099.760,,5.231.423.661,461099760.0,,5231423661.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,434.957.258,,446.454.188,434957258.0,,446454188.0
Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,223.325.458,,27.801.000,223325458.0,,27801000.0
Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,136.395.000,,-,136395000.0,,
Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,13.861.172,,43.128.000,13861172.0,,43128000.0
Công ty Cổ phần Du lịch Thành Thành Công - Chi nhánh Cần Thơ,Công ty Cổ phần Du lịch Thành Thành Công - Chi nhánh Cần Thơ,Công ty Cổ phần Du lịch Thành Thành Công - Chi nhánh Cần Thơ,-,,100.000.000,,,100000000.0
,,,44.348.038.407,,24.887.491.235,44348038407.0,,24887491235.0
Trả trước cho người bán ngắn hạn (Thuyết minh 5),Trả trước cho người bán ngắn hạn (Thuyết minh 5),Trả trước cho người bán ngắn hạn (Thuyết minh 5),Trả trước cho người bán ngắn hạn (Thuyết minh 5),Trả trước cho người bán ngắn hạn (Thuyết minh 5),Trả trước cho người bán ngắn hạn (Thuyết minh 5),,,
Công ty Cổ phần thủy điện Trường Phú,Trả trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty Cổ phần thủy điện Trường Phú,Công ty Cổ phần thủy điện Trường Phú,10.000.000.000,,-,10000000000.0,,
Công ty Cổ phần Biên Hòa - Thành Long,Trả trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,8.499.616.392,,-,8499616392.0,,
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Trả trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,2.198.540.093,,-,2198540093.0,,
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Trả trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,271.313.593,,186.619.545,271313593.0,,186619545.0
,,,20.969.470.078,,186.619.545,20969470078.0,,186619545.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
Công ty Cổ phần Biên Hòa - Thành Long,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,1.000.000.000,,-,1000000000.0,,
Công ty TNHH Một thành viên Nhiệt điện Gia Lai,Người mua trả tiền trước ngắn hạn > Công ty TNHH Một thành viên Nhiệt điện Gia Lai,Công ty TNHH Một thành viên Nhiệt điện Gia Lai,-,,550.000.000,,,550000000.0
