row_label_raw,row_label_full,Mẫu số B 09 – DN,Mẫu số B 09 – DN_1,Mẫu số B 09 – DN_2,numeric__Mẫu số B 09 – DN_1,numeric__Mẫu số B 09 – DN_2
Nội dung nghiệp vụ,Nội dung nghiệp vụ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,
Chi phí chi hộ,Nội dung nghiệp vụ > Chi phí chi hộ,Chi phí chi hộ,4.545.455,14.058.000,4545455.0,14058000.0
"Mua hàng hóa, dịch vụ","Nội dung nghiệp vụ > Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",50.318.182,12.040.000,50318182.0,12040000.0
Nhận chuyển nhượng cổ phiếu,Nội dung nghiệp vụ > Nhận chuyển nhượng cổ phiếu,Nhận chuyển nhượng cổ phiếu,214.056.000.000,-,214056000000.0,
"Mua hàng hóa, dịch vụ","Nội dung nghiệp vụ > Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",12.213.163.062,33.698.026.781,12213163062.0,33698026781.0
Lãi phạt chậm thanh toán,Nội dung nghiệp vụ > Lãi phạt chậm thanh toán,Lãi phạt chậm thanh toán,1.485.054.575,-,1485054575.0,
Doanh thu bán hàng và cung cấp dịch vụ,Nội dung nghiệp vụ > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,36.340.910,72.681.819,36340910.0,72681819.0
Chi phí chi hộ,Nội dung nghiệp vụ > Chi phí chi hộ,Chi phí chi hộ,-,49.999.998,,49999998.0
Doanh thu bán điện,Nội dung nghiệp vụ > Doanh thu bán điện,Doanh thu bán điện,148.472.924.583,192.168.731.165,148472924583.0,192168731165.0
Khác,Nội dung nghiệp vụ > Khác,Khác,-,1.915.611.499,,1915611499.0
Thu hồi khoản cho vay,Nội dung nghiệp vụ > Thu hồi khoản cho vay,Thu hồi khoản cho vay,-,23.500.000.000,,23500000000.0
Lãi cho vay,Nội dung nghiệp vụ > Lãi cho vay,Lãi cho vay,-,607.977.550,,607977550.0
