row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị VND,Số cuối năm > Dự Phòng VND,Số đầu năm > Giá trị VND,Số đầu năm > Dự Phòng VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự Phòng VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Dự Phòng VND
Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,130.200.000.000,-,-,-,130200000000.0,,,
Cho vay dài hạn đáo hạn trong vòng một năm,Cho vay dài hạn đáo hạn trong vòng một năm,Cho vay dài hạn đáo hạn trong vòng một năm,-,-,1.291.000.000,-,,,1291000000.0,
,,,130.200.000.000,-,1.291.000.000,-,130200000000.0,,1291000000.0,
