row_label_raw,row_label_full,col_0,col_1,Mẫu số B 09 – DN,Mẫu số B 09 – DN_1,numeric__col_1,numeric__Mẫu số B 09 – DN,numeric__Mẫu số B 09 – DN_1
THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),,,
Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Bên liên quan > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Doanh thu bán hàng và cung cấp dịch vụ,1.669.482.322,1.168.305.329,,1669482322.0,1168305329.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Bên liên quan > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Chi phí chi hộ,256.888.205,247.689.987,,256888205.0,247689987.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Bên liên quan > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,"Mua hàng hóa, dịch vụ",26.042.568,-,,26042568.0,
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Bên liên quan > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Góp vốn,-,30.000.000.000,,,30000000000.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Bên liên quan > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Thu hồi khoản cho vay,-,28.697.000.000,,,28697000000.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Bên liên quan > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Cho vay,-,4.400.000.000,,,4400000000.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Bên liên quan > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Lãi cho vay,-,1.955.573.593,,,1955573593.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Doanh thu bán hàng và cung cấp dịch vụ,981.959.925,985.765.838,,981959925.0,985765838.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,"Mua hàng hóa, dịch vụ",619.145.774,1.176.488.506,,619145774.0,1176488506.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Lợi nhuận được chia,955.000.000,-,,955000000.0,
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Cho vay,800.000.000,-,,800000000.0,
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Lãi cho vay,32.197.261,-,,32197261.0,
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Chi phí chi hộ,112.943.004,53.561.199,,112943004.0,53561199.0
Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Bên liên quan > Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Doanh thu bán hàng và cung cấp dịch vụ,990.235.084,855.454.726,,990235084.0,855454726.0
Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Bên liên quan > Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Cổ tức được chia,882.000.000,470.400.000,,882000000.0,470400000.0
Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Bên liên quan > Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ,Chi phí chi hộ,92.206.869,169.575.603,,92206869.0,169575603.0
