row_label_raw,row_label_full,col_0,Tại ngày đầu năm VND,Tăng VND,Giảm VND,Phân loại lại VND,Tại ngày cuối năm VND,numeric__Tại ngày đầu năm VND,numeric__Tăng VND,numeric__Giảm VND,numeric__Phân loại lại VND,numeric__Tại ngày cuối năm VND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),1.075.337.004.637,367.074.758.261,(194.611.762.898),(66.400.000.000),1.181.400.000.000,1075337004637.0,367074758261.0,-194611762898.0,-66400000000.0,1181400000000.0
Phát hành trái phiếu (iii),Phát hành trái phiếu (iii),Phát hành trái phiếu (iii),285.000.000.000,219.000.000.000,-,(15.000.000.000),489.000.000.000,285000000000.0,219000000000.0,,-15000000000.0,489000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(3.505.500.000),(2.825.000.000),2.353.516.662,-,(3.976.983.338),-3505500000.0,-2825000000.0,2353516662.0,,-3976983338.0
Vay khác,Vay khác,Vay khác,57.659.999,-,-,(19.220.000),38.439.999,57659999.0,,,-19220000.0,38439999.0
,,,1.356.889.164.636,583.249.758.261,(192.258.246.236),(81.419.220.000),1.666.461.456.661,1356889164636.0,583249758261.0,-192258246236.0,-81419220000.0,1666461456661.0
(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,,,,,
,,,Số hợp đồng,Số cuối năm VND,Mục đích vay,Kỳ hạn trả gốc,Lãi suất và tài sản thể chấp,,,,,
Agribank – Chi nhánh Gia Lai,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > Agribank – Chi nhánh Gia Lai,Agribank – Chi nhánh Gia Lai,01/HĐTD/AGRIB ANK-GEC`,462.000.000.000,Đầu tư vào dự án nhà máy điện mặt trời Phong Điền,Đến tháng 9 năm 2029,(i),,462000000000.0,,,
Ngân hàng TMCP Ngoại thương Việt Nam (“Vietcombank”) - Chi nhánh Thành phố Hồ Chí Minh,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Ngoại thương Việt Nam (“Vietcombank”) - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TMCP Ngoại thương Việt Nam (“Vietcombank”) - Chi nhánh Thành phố Hồ Chí Minh,215/2018/VCB- GEC,785.800.000.000,Đầu tư vào dự án nhà máy điện mặt trời Krông Pa,Đến tháng 11 năm 2030,(ii),,785800000000.0,,,
,,,,1.247.500.000.000(66.400.000.000),,,,,,,,
,,,,1.181.400.000.000,,,,,1181400000000.0,,,
