row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư và phát triển VND,LNST VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư và phát triển VND,numeric__LNST VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,970.912.750.000,28.940.687.153,24.927.813.411,141.292.729.253,1.166.073.979.817,970912750000.0,28940687153.0,24927813411.0,141292729253.0,1166073979817.0
Phát hành cổ phiếu (Thuyết minh 19(c)),Phát hành cổ phiếu (Thuyết minh 19(c)),Phát hành cổ phiếu (Thuyết minh 19(c)),970.912.750.000,23.048.000,-,-,970.935.798.000,970912750000.0,23048000.0,,,970935798000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,138.292.362.878,138.292.362.878,,,,138292362878.0,138292362878.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(10.403.767.174),(10.403.767.174),,,,-10403767174.0,-10403767174.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(97.091.275.000),(97.091.275.000),,,,-97091275000.0,-97091275000.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,1.941.825.500.000,28.963.735.153,24.927.813.411,172.090.049.957,2.167.807.098.521,1941825500000.0,28963735153.0,24927813411.0,172090049957.0,2167807098521.0
Phát hành cổ phiếu (Thuyết minh 19(c)),Phát hành cổ phiếu (Thuyết minh 19(c)),Phát hành cổ phiếu (Thuyết minh 19(c)),97.091.270.000,9.709.127.000,-,-,106.800.397.000,97091270000.0,9709127000.0,,,106800397000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,217.250.405.920,217.250.405.920,,,,217250405920.0,217250405920.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18)",-,-,-,(16.931.432.770),(16.931.432.770),,,,-16931432770.0,-16931432770.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,10.666.283.064,(10.666.283.064),-,,,10666283064.0,-10666283064.0,
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,(135.927.785.000),(135.927.785.000),,,,-135927785000.0,-135927785000.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,2.038.916.770.000,38.672.862.153,35.594.096.475,225.814.955.043,2.338.998.683.671,2038916770000.0,38672862153.0,35594096475.0,225814955043.0,2338998683671.0
