row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm,Năm nay VND > 22.066.438.349 > 21.189.988.507,Năm trước VND > 12.679.598.434 > 20.472.468.868,numeric__Năm nay VND > 22.066.438.349 > 21.189.988.507,numeric__Năm trước VND > 12.679.598.434 > 20.472.468.868
Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,570.203.341,1.058.369.908,570203341.0,1058369908.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 11),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 11),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 11),-,376.558.176,,376558176.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(20.312.237.134),(12.897.115.213),-20312237134.0,-12897115213.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,23.514.393.063,22.066.438.349,23514393063.0,22066438349.0
