row_label_raw,row_label_full,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,-,32.000.000.000,,32000000000.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,-,827.884.323,,827884323.0
Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,-,58.000.000.000,,58000000000.0
Cho vay,Cho vay,Cho vay,-,20.000.000.000,,20000000000.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,-,2.878.607.308,,2878607308.0
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,29.071.159.431,44.727.272,29071159431.0,44727272.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",1.147.434.800,-,1147434800.0,
Ứng trước,Ứng trước,Ứng trước,-,507.871.000,,507871000.0
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,-,30.400.000,,30400000.0
Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,3.706.585.000,1.828.617.857,3706585000.0,1828617857.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,185.123.286,-,185123286.0,
Cho vay,Cho vay,Cho vay,2.900.000.000,-,2900000000.0,
Người mua trả trước,Người mua trả trước,Người mua trả trước,1.000.000.000,-,1000000000.0,
Trả trước người bán,Trả trước người bán,Trả trước người bán,8.500.000.000,-,8500000000.0,
Mua hàng hóa,Mua hàng hóa,Mua hàng hóa,72.831.814.880,-,72831814880.0,
