row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Nhận góp vốn cho mục đích hợp tác đầu tư và chuyển nhượng dự án,38.148.829,66.341.882,,,38148829.0,66341882.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Phải trả hoàn cọc,8.400.000,-,,,8400000.0,
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Đặt cọc chuyển nhượng khoản đầu tư,199.700,-,,,199700.0,
Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,8.960.099,-,,,8960099.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Đặt cọc cho mục đích chuyển nhượng dự án (*),8.704.090,8.166.073,,,8704090.0,8166073.0
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,3.213.495,10.320.495,,,3213495.0,10320495.0
Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty con,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,2.863.125,2.863.125,,,2863125.0,2863125.0
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Đặt cọc cho mục đích chuyển nhượng dự án (*),1.656.312,267.268,,,1656312.0,267268.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Đặt cọc cho mục đích chuyển nhượng dự án,644.492,689.106,,,644492.0,689106.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,Đặt cọc cho mục đích chuyển nhượng dự án,422.667,1.301.429,,,422667.0,1301429.0
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Đặt cọc cho mục đích bảo lãnh,-,82.287,,,,82287.0
,,,,,73.212.809,90.031.665,,,73212809.0,90031665.0
