row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Công ty VEFAC,Công ty VEFAC,Công ty VEFAC,Nhận hoàn cọc cho mục đích chuyển nhượng khoản đầu tư,7.106.992,-,,7106992.0,
Công ty VEFAC,Công ty VEFAC,Công ty VEFAC,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,2.206.992,-,,2206992.0,
Công ty VEFAC,Công ty VEFAC,Công ty VEFAC,Chuyển tiền theo thỏa thuận chuyển giao ba bên,303.000,-,,303000.0,
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Đi vay,3.320.000,-,,3320000.0,
Cửa Hội,Cửa Hội,Cửa Hội,Thanh toán gốc vay,426.000,-,,426000.0,
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Thanh toán gốc vay,4.806.000,658.200,,4806000.0,658200.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Chuyển đổi từ khoản đi vay công ty con khác,4.500.000,-,,4500000.0,
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Đi vay,3.817.000,2.434.400,,3817000.0,2434400.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Gớp vốn bằng tiền,394.809,-,,394809.0,
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Lãi đi vay,284.138,82.301,,284138.0,82301.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Cán trừ gốc vay với công ty con khác,-,1.371.783,,,1371783.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Cán trừ gốc cho vay với công ty con khác,-,775.217,,,775217.0
Công ty VinMedTech,Công ty VinMedTech,Công ty VinMedTech,Gớp vốn bằng tiền,-,297.000,,,297000.0
Công ty Grand Prix,Công ty Grand Prix,Công ty Grand Prix,Gớp vốn bằng gốc và lãi cho vay,-,344.803,,,344803.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Doanh thu từ chuyển nhượng bất động sản,852.770,-,,852770.0,
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Thanh toán gốc vay,663.200,1.900.700,,663200.0,1900700.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Lãi đi vay,6.309,151.712,,6309.0,151712.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Nhận đất cọc chuyển nhượng dự án,-,1.301.429,,,1301429.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Đi vay,-,1.015.000,,,1015000.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Hoàn cọc đã nhận chuyển nhượng dự án,-,800.000,,,800000.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Thu hồi gốc cho vay,1.922.632,3.480.000,,1922632.0,3480000.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Cho vay,607.000,1.148.200,,607000.0,1148200.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Lãi cho vay,220.101,346.946,,220101.0,346946.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Cán trừ gốc cho vay với công ty con khác,-,1.055.671,,,1055671.0
Công ty VinCons,Công ty VinCons,Công ty VinCons,Tạm ứng liên quan đến hoạt động xây dựng,6.746.212,2.050.000,,6746212.0,2050000.0
Công ty VinCons,Công ty VinCons,Công ty VinCons,Hoàn ứng liên quan đến hoạt động xây dựng,3.244.582,-,,3244582.0,
Công ty VinCons,Công ty VinCons,Công ty VinCons,Phải trả liên quan đến hoạt động xây dựng,2.072.774,-,,2072774.0,
Công ty VinCons,Công ty VinCons,Công ty VinCons,Cán trừ tạm ứng liên quan đến hoạt động xây dựng,615.846,-,,615846.0,
Công ty VinFast Invest,Công ty VinFast Invest,Công ty VinFast Invest,Chuyển đổi từ khoản cho vay công ty con khác,4.746.465,-,,4746465.0,
Công ty VinES,Công ty VinES,Công ty VinES,Cho vay,789.000,3.689.894,,789000.0,3689894.0
Hà Tĩnh,Hà Tĩnh,Hà Tĩnh,Thu hồi gốc cho vay,364.000,1.533.168,,364000.0,1533168.0
Hà Tĩnh,Hà Tĩnh,Hà Tĩnh,Lãi cho vay,312.567,101.088,,312567.0,101088.0
Công ty VinEG,Công ty VinEG,Công ty VinEG,Chuyển đổi từ khoản cho vay bên liên quan khác,8.657.958,-,,8657958.0,
Công ty VinEG,Công ty VinEG,Công ty VinEG,Lãi cho vay,609.141,-,,609141.0,
Công ty VS,Công ty VS,Công ty VS,Lãi đi vay,6.143,552.513,,6143.0,552513.0
Công ty VS,Công ty VS,Công ty VS,Đi vay,-,2.381.300,,,2381300.0
Công ty Vingroup Investment,Công ty Vingroup Investment,Công ty Vingroup Investment,Cho vay,3.280.570,1.193.300,,3280570.0,1193300.0
Công ty Vingroup Investment,Công ty Vingroup Investment,Công ty Vingroup Investment,Thu hồi gốc cho vay,663.501,3.117.949,,663501.0,3117949.0
Công ty Vingroup Investment,Công ty Vingroup Investment,Công ty Vingroup Investment,Lãi cho vay,202.642,304.330,,202642.0,304330.0
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Đi vay,58.462.245,7.948.523,,58462245.0,7948523.0
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Thanh toán gốc vay,35.073.000,7.948.523,,35073000.0,7948523.0
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Thu hồi gốc cho vay,3.656.645,999.250,,3656645.0,999250.0
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Cho vay,1.844.000,2.365.595,,1844000.0,2365595.0
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Lãi đi vay,1.452.373,54.832,,1452373.0,54832.0
Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Đi vay,30.271.148,4.950.000,,30271148.0,4950000.0
Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Thanh toán gốc vay,10.335.000,8.110.736,,10335000.0,8110736.0
Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Chuyển đổi thành khoản đi vay công ty con khác,4.500.000,-,,4500000.0,
Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Thu hồi gốc cho vay,2.456.222,-,,2456222.0,
Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Lãi đi vay,317.213,61.050,,317213.0,61050.0
Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Công ty Ngọc Việt(Công ty con đến ngày 22 tháng 4 năm 2024),Cho vay,-,2.456.222,,,2456222.0
Công ty VSN (Công ty con đến ngày 22 tháng 4 năm 2024),Công ty VSN (Công ty con đến ngày 22 tháng 4 năm 2024),Công ty VSN (Công ty con đến ngày 22 tháng 4 năm 2024),Thanh toán gốc vay,265.000,6.450.672,,265000.0,6450672.0
Công ty VSN (Công ty con đến ngày 22 tháng 4 năm 2024),Công ty VSN (Công ty con đến ngày 22 tháng 4 năm 2024),Công ty VSN (Công ty con đến ngày 22 tháng 4 năm 2024),Cho vay,212.000,-,,212000.0,
Công ty VSN (Công ty con đến ngày 22 tháng 4 năm 2024),Công ty VSN (Công ty con đến ngày 22 tháng 4 năm 2024),Công ty VSN (Công ty con đến ngày 22 tháng 4 năm 2024),Cán trừ gốc cho vay với công ty con khác,212.000,-,,212000.0,
