row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm
Trả trước theo các hợp đồng chuyển nhượng bất động sản (i),Trả trước theo các hợp đồng chuyển nhượng bất động sản (i),Trả trước theo các hợp đồng chuyển nhượng bất động sản (i),15.817.319,924.193,15817319.0,924193.0
Trả trước theo hợp đồng Xây dựng – Chuyển giao (ii),Trả trước theo hợp đồng Xây dựng – Chuyển giao (ii),Trả trước theo hợp đồng Xây dựng – Chuyển giao (ii),7.600.198,7.600.198,7600198.0,7600198.0
Người mua trả tiền trước khác,Người mua trả tiền trước khác,Người mua trả tiền trước khác,304.807,1.729.774,304807.0,1729774.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,23.722.324,10.254.165,23722324.0,10254165.0
Trong đó:,Trong đó:,Trong đó:,,,,
Trả trước từ khách hàng khác,Trong đó: > Trả trước từ khách hàng khác,Trả trước từ khách hàng khác,23.417.517,8.525.165,23417517.0,8525165.0
Trả trước từ các bên liên quan(Thuyết minh số 33.2),Trong đó: > Trả trước từ các bên liên quan(Thuyết minh số 33.2),Trả trước từ các bên liên quan(Thuyết minh số 33.2),304.807,1.729.000,304807.0,1729000.0
