row_label_raw,row_label_full,Trích lập/(hoàn nhập) dự phòng giảm giá trị các khoản đầu tư,Đơn vị tính: triệu VND > Năm nay > 521.530,Đơn vị tính: triệu VND > Năm trước > (3.617.414),numeric__Đơn vị tính: triệu VND > Năm nay > 521.530,numeric__Đơn vị tính: triệu VND > Năm trước > (3.617.414)
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,8.807.766,8.035.725,8807766.0,8035725.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,1.199.790,1.419.665,1199790.0,1419665.0
Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,861.755,830.681,861755.0,830681.0
Lỗ từ hoạt động chuyển nhượng vốn,Lỗ từ hoạt động chuyển nhượng vốn,Lỗ từ hoạt động chuyển nhượng vốn,285.691,-,285691.0,
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,1.265.228,961.339,1265228.0,961339.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,12.941.760,7.629.996,12941760.0,7629996.0
