row_label_raw,row_label_full,Số đầu năm > Tăng trong năm > Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14) > Chuyển sang bất động sản đầu tư(Thuyết minh số 15),Đơn vị tính: triệu VND > Năm nay > 4.246.982 > 4.884.523 > (243.246) > (1.455.593),Đơn vị tính: triệu VND > Năm trước > 4.474.605 > 2.244.699 > - > (90.650),numeric__Đơn vị tính: triệu VND > Năm nay > 4.246.982 > 4.884.523 > (243.246) > (1.455.593),numeric__Đơn vị tính: triệu VND > Năm trước > 4.474.605 > 2.244.699 > - > (90.650)
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,(2.381.672),,-2381672.0
Số cuối năm,Số cuối năm,Số cuối năm,7.432.666,4.246.982,7432666.0,4246982.0
