row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 23) > Công ty Xavinco (i) > Công ty VinAcademy (i) > Công ty Xalivico (ii) > Công ty VS (i) > Các công ty khác (i),Mối quan hệ > Vay ngắn hạn (Thuyết minh số 23) > Công ty con,Số cuối nămTriệu VND > Vay ngắn hạn (Thuyết minh số 23) > 718.882 > 503.000 > 196.100 > 113.863 > 97.300,Lãi suất%/năm > Vay ngắn hạn (Thuyết minh số 23) > 11 > 11 - 12 > 11 > 11 - 12,Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 23) > Tháng 12 năm 2024 > Từ tháng 7 đến tháng 12năm 2024 > Từ tháng 8 đến tháng 12năm 2024,numeric__Mối quan hệ > Vay ngắn hạn (Thuyết minh số 23) > Công ty con,numeric__Số cuối nămTriệu VND > Vay ngắn hạn (Thuyết minh số 23) > 718.882 > 503.000 > 196.100 > 113.863 > 97.300,numeric__Lãi suất%/năm > Vay ngắn hạn (Thuyết minh số 23) > 11 > 11 - 12 > 11 > 11 - 12,numeric__Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 23) > Tháng 12 năm 2024 > Từ tháng 7 đến tháng 12năm 2024 > Từ tháng 8 đến tháng 12năm 2024
,,,,1.629.145,,,,1629145.0,,
Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),,,,
Công ty Vinschool (i),Vay dài hạn (Thuyết minh số 23) > Công ty Vinschool (i),Công ty Vinschool (i),Công ty con,663.200,11,Tháng 6 năm 2025,,663200.0,11.0,
Công ty VSN (i),Vay dài hạn (Thuyết minh số 23) > Công ty VSN (i),Công ty VSN (i),Công ty con,265.000,11,Tháng 6 năm 2025,,265000.0,11.0,
Công ty WorldAcademy (i),Vay dài hạn (Thuyết minh số 23) > Công ty WorldAcademy (i),Công ty WorldAcademy (i),Công ty con,154.500,11 - 12,Tháng 6 năm 2025,,154500.0,,
Công ty SADO (i),Vay dài hạn (Thuyết minh số 23) > Công ty SADO (i),Công ty SADO (i),Công ty con,143.000,12,Tháng 12 năm 2025,,143000.0,12.0,
Công ty VinAcademy(i),Vay dài hạn (Thuyết minh số 23) > Công ty VinAcademy(i),Công ty VinAcademy(i),Công ty con,110.000,11 - 12,Tháng 6 năm 2025,,110000.0,,
Công ty Bảo vệVincom (i),Vay dài hạn (Thuyết minh số 23) > Công ty Bảo vệVincom (i),Công ty Bảo vệVincom (i),Công ty con,73.355,11 - 12,Tháng 6 năm 2025,,73355.0,,
Các công ty khác (i),Vay dài hạn (Thuyết minh số 23) > Các công ty khác (i),Các công ty khác (i),"Công ty con,công ty liên kết",83.138,11 - 12,Tháng 6 năm 2025,,83138.0,,
,,,,1.492.193,,,,1492193.0,,
