row_label_raw,row_label_full,col_0,Kinh doanhchuyển nhượngbắt động sản,Kinh doanhdịch vụquản lý,Kinh doanhdịch vụ chothuệ và dịchvụ khác,Tổng cộng,numeric__Kinh doanhchuyển nhượngbắt động sản,numeric__Kinh doanhdịch vụquản lý,numeric__Kinh doanhdịch vụ chothuệ và dịchvụ khác,numeric__Tổng cộng
Doanh thu thuầnDoanh thu thuần,Doanh thu thuầnDoanh thu thuần,Doanh thu thuầnDoanh thu thuần,14.626.339,1.154.550,164.572,15.945.461,14626339.0,1154550.0,164572.0,15945461.0
Tổng doanh thu thuầnKhấu hao và hao mòn (bao gồm phân bổtiền thuê đất),Tổng doanh thu thuầnKhấu hao và hao mòn (bao gồm phân bổtiền thuê đất),Tổng doanh thu thuầnKhấu hao và hao mòn (bao gồm phân bổtiền thuê đất),14.626.339,1.154.550,164.572,15.945.461,14626339.0,1154550.0,164572.0,15945461.0
Tổng doanh thu thuầnKhấu hao và hao mòn (bao gồm phân bổtiền thuê đất),Tổng doanh thu thuầnKhấu hao và hao mòn (bao gồm phân bổtiền thuê đất),Tổng doanh thu thuầnKhấu hao và hao mòn (bao gồm phân bổtiền thuê đất),1.227,43.209,152.744,197.180,1227.0,43209.0,152744.0,197180.0
Thu nhập/(lỗ) trước thuế theo bộ phận,Thu nhập/(lỗ) trước thuế theo bộ phận,Thu nhập/(lỗ) trước thuế theo bộ phận,2.275.262,104.960,(82.814),2.297.408,2275262.0,104960.0,-82814.0,2297408.0
Thu nhập thuần không phân bổ (*),Thu nhập thuần không phân bổ (*),Thu nhập thuần không phân bổ (*),,,,3.446.267,,,,3446267.0
Tải sảnChi phí mua sắm TSCĐ và xây dựngcơ bản tăng trong năm,Tải sảnChi phí mua sắm TSCĐ và xây dựngcơ bản tăng trong năm,Tải sảnChi phí mua sắm TSCĐ và xây dựngcơ bản tăng trong năm,44.990,28.790,4.047.888,4.121.668,44990.0,28790.0,4047888.0,4121668.0
Tải sản theo bộ phận,Tải sản theo bộ phận,Tải sản theo bộ phận,32.293.434,490.130,17.199.817,49.983.381,32293434.0,490130.0,17199817.0,49983381.0
Tải sản không phân bổ (**),Tải sản không phân bổ (**),Tải sản không phân bổ (**),,,,288.796.528,,,,288796528.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,,,,338.779.909,,,,338779909.0
Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,114.362.646,304.807,15.532.239,130.199.692,114362646.0,304807.0,15532239.0,130199692.0
Tổng nợ phải trả không phân bổ (***),Tổng nợ phải trả không phân bổ (***),Tổng nợ phải trả không phân bổ (***),,,,120.456.538,,,,120456538.0
TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,,,250.656.230,,,,250656230.0
