row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịquản lý,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịquản lý,numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịquản lý,Tài sản cốđịnh khác,Tổng cộng,,,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,738.235,338.030,89.685,163.890,1.250,1.331.090,738235.0,338030.0,89685.0,163890.0,1250.0,1331090.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,195,27.901,104,24.794,52.994,,195.0,27901.0,104.0,24794.0,52994.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Xây dựng cơ bản hoàn thành(Thuyết minh số 16),221.516,21.730,-,-,-,243.246,221516.0,21730.0,,,,243246.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(418.250),(172.539),(36.656),(148),-,(627.593),-418250.0,-172539.0,-36656.0,-148.0,,-627593.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,-,-,-,-,(4.162),(4.162),,,,,-4162.0,-4162.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,541.501,187.416,80.930,163.846,21.882,995.575,541501.0,187416.0,80930.0,163846.0,21882.0,995575.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,27.898,12.744,163.574,1.250,205.466,,27898.0,12744.0,163574.0,1250.0,205466.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,90.887,187.678,38.956,163.873,1.250,482.644,90887.0,187678.0,38956.0,163873.0,1250.0,482644.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,14.770,24.952,9.397,31,1.154,50.304,14770.0,24952.0,9397.0,31.0,1154.0,50304.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(55.743),(111.476),(18.596),(114),-,(185.929),-55743.0,-111476.0,-18596.0,-114.0,,-185929.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,-,-,-,-,(68),(68),,,,,-68.0,-68.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,49.914,101.154,29.757,163.790,2.336,346.951,49914.0,101154.0,29757.0,163790.0,2336.0,346951.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,647.348,150.352,50.729,17,-,848.446,647348.0,150352.0,50729.0,17.0,,848446.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,491.587,86.262,51.173,56,19.546,648.624,491587.0,86262.0,51173.0,56.0,19546.0,648624.0
