row_label_raw,row_label_full,Số tiền đi vay thực thu trong năm,Đơn vị tính: triệu VND > Năm nay > Số tiền đi vay thực thu trong năm,Đơn vị tính: triệu VND > Năm trước > Số tiền đi vay thực thu trong năm,numeric__Đơn vị tính: triệu VND > Năm nay > Số tiền đi vay thực thu trong năm,numeric__Đơn vị tính: triệu VND > Năm trước > Số tiền đi vay thực thu trong năm
Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,98.037.706,17.803.029,98037706.0,17803029.0
Tiền thu từ phát hành trái phiếu hoán đổi,Tiền thu từ phát hành trái phiếu hoán đổi,Tiền thu từ phát hành trái phiếu hoán đổi,-,5.897.105,,5897105.0
Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,13.495.214,1.407.440,13495214.0,1407440.0
Số tiền đã thực trả gốc vay trong năm,Số tiền đã thực trả gốc vay trong năm,Số tiền đã thực trả gốc vay trong năm,Số tiền đã thực trả gốc vay trong năm,Số tiền đã thực trả gốc vay trong năm,,
Tiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong năm > Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,(53.038.346),(20.167.231),-53038346.0,-20167231.0
Tiền trả nợ gốc trái phiếu hoán đổi,Số tiền đã thực trả gốc vay trong năm > Tiền trả nợ gốc trái phiếu hoán đổi,Tiền trả nợ gốc trái phiếu hoán đổi,(16.359.402),(6.110.000),-16359402.0,-6110000.0
Tiền trả nợ gốc trái phiếu thường,Số tiền đã thực trả gốc vay trong năm > Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,(6.975.000),-,-6975000.0,
