row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ hợp đồng Xây dựng – Chuyển giao với cơ quan Nhà nước,Ngắn hạn > Phải thu từ hợp đồng Xây dựng – Chuyển giao với cơ quan Nhà nước,Phải thu từ hợp đồng Xây dựng – Chuyển giao với cơ quan Nhà nước,10.079.466,10.081.702,10079466.0,10081702.0
Lãi cho vay và lãi tiền gửi ngân hàng phải thu,Ngắn hạn > Lãi cho vay và lãi tiền gửi ngân hàng phải thu,Lãi cho vay và lãi tiền gửi ngân hàng phải thu,6.289.676,1.890.621,6289676.0,1890621.0
Phải thu do chi hộ,Ngắn hạn > Phải thu do chi hộ,Phải thu do chi hộ,162.463,150.075,162463.0,150075.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,162.114,203.547,162114.0,203547.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,16.693.719,12.325.945,16693719.0,12325945.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ các bên khác,Trong đó: > Phải thu khác từ các bên khác,Phải thu khác từ các bên khác,10.370.769,10.250.981,10370769.0,10250981.0
Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),6.322.950,2.074.964,6322950.0,2074964.0
Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,,
Phải thu khác từ một tổ chức,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn: > Phải thu khác từ một tổ chức,Phải thu khác từ một tổ chức,9.714.811,9.717.046,9714811.0,9717046.0
Phải thu khác từ một công ty con,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn: > Phải thu khác từ một công ty con,Phải thu khác từ một công ty con,4.102.968,805.625,4102968.0,805625.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Đặt cọc, góp vốn cho mục đích hợp tác đầu tư, kinh doanh","Dài hạn > Đặt cọc, góp vốn cho mục đích hợp tác đầu tư, kinh doanh","Đặt cọc, góp vốn cho mục đích hợp tác đầu tư, kinh doanh",527.238,-,527238.0,
Lãi cho vay phải thu,Dài hạn > Lãi cho vay phải thu,Lãi cho vay phải thu,232.003,1.198.644,232003.0,1198644.0
Các khoản khác,Dài hạn > Các khoản khác,Các khoản khác,1.234,3.402,1234.0,3402.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,760.475,1.202.046,760475.0,1202046.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ các bên khác,Trong đó: > Phải thu khác từ các bên khác,Phải thu khác từ các bên khác,209,3.402,209.0,3402.0
Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),760.266,1.198.644,760266.0,1198644.0
Dự phòng phải thu khác khó đòi,Trong đó: > Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,-,(26.651),,-26651.0
