row_label_raw,row_label_full,col_0,"Quyền sử dụngđất và nhà cửa,vật kiến trúc",Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,"numeric__Quyền sử dụngđất và nhà cửa,vật kiến trúc",numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,"Quyền sử dụngđất và nhà cửa,vật kiến trúc","Máy móc,thiết bị",Tổng cộng,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.010.943,728.524,2.739.467,2010943.0,728524.0,2739467.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Xây dựng cơ bản hoàn thành(Thuyết minh số 16),1.272.161,183.432,1.455.593,1272161.0,183432.0,1455593.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(563.047),(252.986),(816.033),-563047.0,-252986.0,-816033.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.720.057,658.970,3.379.027,2720057.0,658970.0,3379027.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,366.039,333.431,699.470,366039.0,333431.0,699470.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,58.300,46.956,105.256,58300.0,46956.0,105256.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(90.337),(111.340),(201.677),-90337.0,-111340.0,-201677.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,334.002,269.047,603.049,334002.0,269047.0,603049.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.644.904,395.093,2.039.997,1644904.0,395093.0,2039997.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.386.055,389.923,2.775.978,2386055.0,389923.0,2775978.0
