row_label_raw,row_label_full,Tên,Chức vụ,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Chức vụ,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Chủ tịch,-,-,,,
Bà Phạm Thúy Hằng,Ông Phạm Nhật Vương > Bà Phạm Thúy Hằng,Bà Phạm Thúy Hằng,Phó Chủ tịch,2.763,2.752,,2763.0,2752.0
Bà Phạm Thu Hương,Ông Phạm Nhật Vương > Bà Phạm Thu Hương,Bà Phạm Thu Hương,Phó Chủ tịch,2.763,2.752,,2763.0,2752.0
Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Phó Chủ tịch,-,-,,,
Ông Nguyễn Việt Quang,Bà Nguyễn Diệu Linh > Ông Nguyễn Việt Quang,Ông Nguyễn Việt Quang,Phó Chủ tịch,2.782,2.781,,2782.0,2781.0
Ông Adil Ahmad,Bà Nguyễn Diệu Linh > Ông Adil Ahmad,Ông Adil Ahmad,Thành viên độc lập,1.239,1.076,,1239.0,1076.0
Ông Chin Michael Jaewuk,Bà Nguyễn Diệu Linh > Ông Chin Michael Jaewuk,Ông Chin Michael Jaewuk,Thành viên độc lập,1.239,1.076,,1239.0,1076.0
Ông Ronaldo Dy-Liacco Ibasco,Bà Nguyễn Diệu Linh > Ông Ronaldo Dy-Liacco Ibasco,Ông Ronaldo Dy-Liacco Ibasco,Thành viên độc lập,1.239,1.076,,1239.0,1076.0
Bà Chun Chae Rhan,Bà Chun Chae Rhan,Bà Chun Chae Rhan,Thành viên đến ngày 25 tháng 2 năm 2025,-,-,,,
TỔNG CỘNG,Bà Chun Chae Rhan > TỔNG CỘNG,TỔNG CỘNG,,12.025,11.513,,12025.0,11513.0
