row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng cổ phần,Số cuối năm > Tỷ lệ biểu quyết,Số cuối năm > Tỷ lệ sở hữu,Số cuối năm > Giá trị ghi số (ii) (triệu VND),Số đầu năm > Số lượng cổ phần,Số đầu năm > Tỷ lệ biểu quyết,Số đầu năm > Tỷ lệ sở hữu,Số đầu năm > Giá trị ghi số (ii) (triệu VND),numeric__Số cuối năm > Số lượng cổ phần,numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số cuối năm > Tỷ lệ sở hữu,numeric__Số cuối năm > Giá trị ghi số (ii) (triệu VND),numeric__Số đầu năm > Số lượng cổ phần,numeric__Số đầu năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Tỷ lệ sở hữu,numeric__Số đầu năm > Giá trị ghi số (ii) (triệu VND)
"Công ty Cổ phần Di chuyển xanh và Thông minh GSM (""Công ty GSM"") (iv)","Công ty Cổ phần Di chuyển xanh và Thông minh GSM (""Công ty GSM"") (iv)","Công ty Cổ phần Di chuyển xanh và Thông minh GSM (""Công ty GSM"") (iv)",58.355.000,"5,00%","5,00%",900.000,29.736.842,"4,80%","4,80%",297.368,58355000.0,0.05,0.05,900000.0,29736842.0,0.048,0.048,297368.0
Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông,Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông,Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông,(i),"9,62%","9,62%",519.233,(i),"9,62%","9,62%",519.233,,0.0962,0.0962,519233.0,,0.0962,0.0962,519233.0
Công ty Cổ phần Thời trang M.Y.M,Công ty Cổ phần Thời trang M.Y.M,Công ty Cổ phần Thời trang M.Y.M,6.080.000,"19,00%","19,00%",60.800,6.080.000,"19,00%","19,00%",60.800,6080000.0,0.19,0.19,60800.0,6080000.0,0.19,0.19,60800.0
Công ty Cổ phần VinID Pay,Công ty Cổ phần VinID Pay,Công ty Cổ phần VinID Pay,2.622.000,"9,54%","9,54%",26.220,2.622.000,"9,54%","9,54%",26.220,2622000.0,0.09539999999999998,0.09539999999999998,26220.0,2622000.0,0.09539999999999998,0.09539999999999998,26220.0
Công ty Cổ phần Tập đoàn Truyền thông Thanh niên,Công ty Cổ phần Tập đoàn Truyền thông Thanh niên,Công ty Cổ phần Tập đoàn Truyền thông Thanh niên,100.000,"0,99%","0,99%",9.400,100.000,"0,99%","0,99%",9.400,100000.0,0.009899999999999999,0.009899999999999999,9400.0,100000.0,0.009899999999999999,0.009899999999999999,9400.0
Công ty Cổ phần One Mount Consumer,Công ty Cổ phần One Mount Consumer,Công ty Cổ phần One Mount Consumer,107.500,"0,05%","0,05%",1.075,107.500,"0,05%","0,05%",1.075,107500.0,0.0005,0.0005,1075.0,107500.0,0.0005,0.0005,1075.0
Công ty Cổ phần Quỹ đầu tư mạo hiểm VinVentures,Công ty Cổ phần Quỹ đầu tư mạo hiểm VinVentures,Công ty Cổ phần Quỹ đầu tư mạo hiểm VinVentures,1.000.000,"10,00%","10,00%",10.000,-,-,-,-,1000000.0,0.1,0.1,10000.0,,,,
Công ty Cổ phần Giải pháp Năng lượng VinES,Công ty Cổ phần Giải pháp Năng lượng VinES,Công ty Cổ phần Giải pháp Năng lượng VinES,2.000,"0,10%","0,10%",20,-,-,-,-,2000.0,0.001,0.001,20.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,1.526.748,,,,914.096,,,,1526748.0,,,,914096.0
Dự phòng đầu tư góp vốn vào đơn vị khác (iii),Dự phòng đầu tư góp vốn vào đơn vị khác (iii),Dự phòng đầu tư góp vốn vào đơn vị khác (iii),,,,(439.804),,,,(76.224),,,,-439804.0,,,,-76224.0
(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,(i) Đầy là công ty trách nhiệm hữu hạn.,,,,,,,,
(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được các thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,,,,,,,,
(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,(iii) Chủ yếu bao gồm dự phòng đầu tư vào Công ty GSM và Công ty Cổ phần Thời Trang M.Y.M.,,,,,,,,
"(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.","(iv) Trong năm 2024, Công ty đã thực hiện góp thêm vốn 602 tỷ VND vào Công ty GSM.",,,,,,,,
