row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,5.743.675,2.155.823,5743675.0,2155823.0
Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,1.148.735,431.165,1148735.0,431165.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Các khoản điều chỉnh: > Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,3.986.729,243.391,3986729.0,243391.0
Chi phí bồi hoàn không được trừ,Các khoản điều chỉnh: > Chi phí bồi hoàn không được trừ,Chi phí bồi hoàn không được trừ,141.366,-,141366.0,
Chi phí lãi vay không được trừ,Các khoản điều chỉnh: > Chi phí lãi vay không được trừ,Chi phí lãi vay không được trừ,-,262.274,,262274.0
Chi phí lãi vay năm trước chuyển sang,Các khoản điều chỉnh: > Chi phí lãi vay năm trước chuyển sang,Chi phí lãi vay năm trước chuyển sang,(82.541),-,-82541.0,
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(204.673),-,-204673.0,
Hoàn nhập các khoản dự phòng không đủ điều kiện khấu trừ,Các khoản điều chỉnh: > Hoàn nhập các khoản dự phòng không đủ điều kiện khấu trừ,Hoàn nhập các khoản dự phòng không đủ điều kiện khấu trừ,-,(237.312),,-237312.0
Thu nhập miễn thuế từ chuyển nhượng cổ phần được chia tử cổ tức,Các khoản điều chỉnh: > Thu nhập miễn thuế từ chuyển nhượng cổ phần được chia tử cổ tức,Thu nhập miễn thuế từ chuyển nhượng cổ phần được chia tử cổ tức,-,(511.843),,-511843.0
Lỗ hoạt động bất động sản không được cán trừ,Các khoản điều chỉnh: > Lỗ hoạt động bất động sản không được cán trừ,Lỗ hoạt động bất động sản không được cán trừ,-,35.241,,35241.0
Lỗ hoạt động khác,Các khoản điều chỉnh: > Lỗ hoạt động khác,Lỗ hoạt động khác,-,97.883,,97883.0
Các khoản điều chỉnh khác,Các khoản điều chỉnh: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,64.921,66.410,64921.0,66410.0
Chi phí thuế TNDN ước tính,Các khoản điều chỉnh: > Chi phí thuế TNDN ước tính,Chi phí thuế TNDN ước tính,5.054.537,387.209,5054537.0,387209.0
