row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty con,Phải trả từ chia sẻ lợi nhuận hợp đồng hợp tác kinh doanh,5.650.428,-,,,5650428.0,
Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,1.133.095,-,,,1133095.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Đặt cọc chuyển nhượng bất động sản,4.646.361,-,,,4646361.0,
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Phải trả từ chia sẻ lợi nhuận hợp đồng hợp tác kinh doanh,2.684.391,221.706,,,2684391.0,221706.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,1.028.282,410.230,,,1028282.0,410230.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Phải trả hoàn cọc,-,7.300.000,,,,7300000.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Đặt cọc chuyển nhượng khoản đầu tư,-,199.700,,,,199700.0
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Đặt cọc cho mục đích bảo lãnh,241.892,-,,,241892.0,
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải trả khác,49.209,4.319,,,49209.0,4319.0
,,,,,15.433.658,8.135.955,,,15433658.0,8135955.0
