row_label_raw,row_label_full,Bên cho vay/thu xếp tín dụng,Số cuối năm,Số cuối năm_1,Kỳ hạn trả gốc và lãi,Tài sản đảm bảo,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Kỳ hạn trả gốc và lãi,numeric__Tài sản đảm bảo
Bên cho vay/thu xếp tín dụng,Bên cho vay/thu xếp tín dụng,Bên cho vay/thu xếp tín dụng,Nguyên tệ,Triệu VND,Kỳ hạn trả gốc và lãi,Tài sản đảm bảo,,,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 1,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 1,Các bên thu xếp tín dụng của khoản vay hợp vốn 1,USD,6.181.294,Gốc trả từ tháng 1 năm2025 đến tháng 2 năm2026. Lãi trả hàng quý.,(i),,6181294.0,,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,1.785.872,Gốc trả từ tháng 1 năm2025 đến tháng 2 năm2026. Lãi trả hàng quý.,(i),,1785872.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Các bên thu xếp tín dụng của khoản vay hợp vốn 2,USD,7.466.804,Gốc trả từ tháng 6 năm2025 đến tháng 12 năm2026. Lãi trả hàng quý.,(i),,7466804.0,,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,1.721.229,Gốc trả từ tháng 6 năm2025 đến tháng 12 năm2026. Lãi trả hàng quý.,(i),,1721229.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 3,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 3,Các bên thu xếp tín dụng của khoản vay hợp vốn 3,USD,2.793.871,Gốc trả từ tháng 5 năm2025 đến tháng 11 năm2028. Lãi trả hàng quý.,(i),,2793871.0,,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,396.681,Gốc trả từ tháng 5 năm2025 đến tháng 11 năm2028. Lãi trả hàng quý.,(i),,396681.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 4,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 4,Các bên thu xếp tín dụng của khoản vay hợp vốn 4,VND,471.210,Gốc trả từ tháng 5 năm2025 đến tháng 11 năm2028. Lãi trả hàng quý.,(i),,471210.0,,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,VND,66.342,Gốc trả từ tháng 5 năm2025 đến tháng 11 năm2028. Lãi trả hàng quý.,(i),,66342.0,,
TỔNG CỘNG,Bên cho vay/thu xếp tín dụng > TỔNG CỘNG,TỔNG CỘNG,,16.913.179,,,,16913179.0,,
Trong đó:Vay dài hạn,Bên cho vay/thu xếp tín dụng > Trong đó:Vay dài hạn,Trong đó:Vay dài hạn,,12.943.055,,,,12943055.0,,
Vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,3.970.124,,,,3970124.0,,
