row_label_raw,row_label_full,col_0,Số đầu nămGiá trị đồng thời là số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối nămGiá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu nămGiá trị đồng thời là số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối nămGiá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngắn hàng ngắn hạn (*) (Thuyết minh số 23.1),Vay ngắn hạn > Vay ngắn hàng ngắn hạn (*) (Thuyết minh số 23.1),Vay ngắn hàng ngắn hạn (*) (Thuyết minh số 23.1),2.351.492,10.729.331,(7.857.060),5.223.763,2351492.0,10729331.0,-7857060.0,5223763.0
Vay ngắn hàng dài hạn đến hạn trả (Thuyết minh số 23.2.1),Vay ngắn hạn > Vay ngắn hàng dài hạn đến hạn trả (Thuyết minh số 23.2.1),Vay ngắn hàng dài hạn đến hạn trả (Thuyết minh số 23.2.1),-,633.879,-,633.879,,633879.0,,633879.0
Trái phiếu dài hạn đến hạn trả (Thuyết minh số 23.2.2),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả (Thuyết minh số 23.2.2),Trái phiếu dài hạn đến hạn trả (Thuyết minh số 23.2.2),28.262.550,1.712.608,(23.384.618),6.590.540,28262550.0,1712608.0,-23384618.0,6590540.0
Khoản vay hợp vốn ngắn hạn,Vay ngắn hạn > Khoản vay hợp vốn ngắn hạn,Khoản vay hợp vốn ngắn hạn,2.436.037,8.963,(2.445.000),-,2436037.0,8963.0,-2445000.0,
Vay hợp vốn dài hạn đến hạn trả (Thuyết minh số 23.2.3),Vay ngắn hạn > Vay hợp vốn dài hạn đến hạn trả (Thuyết minh số 23.2.3),Vay hợp vốn dài hạn đến hạn trả (Thuyết minh số 23.2.3),6.522.401,4.040.399,(6.592.676),3.970.124,6522401.0,4040399.0,-6592676.0,3970124.0
Vay các bên liên quan ngắn hạn (Thuyết minh số 33.4),Vay ngắn hạn > Vay các bên liên quan ngắn hạn (Thuyết minh số 33.4),Vay các bên liên quan ngắn hạn (Thuyết minh số 33.4),1.629.145,94.181.287,(94.605.849),1.204.583,1629145.0,94181287.0,-94605849.0,1204583.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,41.201.625,111.306.467,(134.885.203),17.622.889,41201625.0,111306467.0,-134885203.0,17622889.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay ngắn hàng dài hạn (Thuyết minh số 23.2.1),Vay dài hạn > Vay ngắn hàng dài hạn (Thuyết minh số 23.2.1),Vay ngắn hàng dài hạn (Thuyết minh số 23.2.1),-,5.951.604,(1.453.750),4.497.854,,5951604.0,-1453750.0,4497854.0
Trái phiếu phát hành (Thuyết minh số 23.2.2),Vay dài hạn > Trái phiếu phát hành (Thuyết minh số 23.2.2),Trái phiếu phát hành (Thuyết minh số 23.2.2),8.334.667,13.758.937,(686.184),21.407.420,8334667.0,13758937.0,-686184.0,21407420.0
Vay hợp vốn dài hạn (Thuyết minh số 23.2.3),Vay dài hạn > Vay hợp vốn dài hạn (Thuyết minh số 23.2.3),Vay hợp vốn dài hạn (Thuyết minh số 23.2.3),13.458.903,3.501.039,(4.016.887),12.943.055,13458903.0,3501039.0,-4016887.0,12943055.0
Vay các bên liên quan dài hạn (Thuyết minh số 33.4),Vay dài hạn > Vay các bên liên quan dài hạn (Thuyết minh số 33.4),Vay các bên liên quan dài hạn (Thuyết minh số 33.4),1.492.193,61.116.854,(17.115.394),45.493.653,1492193.0,61116854.0,-17115394.0,45493653.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,23.285.763,84.328.434,(23.272.215),84.341.982,23285763.0,84328434.0,-23272215.0,84341982.0
