row_label_raw,row_label_full,"Đơn vị tư vấn/đại lý ủy thác phát hành > Công ty Cổ phần Chứng khoán Kỹ thương (i) > Công ty Cổ phần Chứng khoán Kỹ thương (ii) > Công ty Cổ phần Chứng khoán SSI (i)Trong đó:Trái phiếu dài hạn đến hạn trả > Công ty Cổ phần Chứng khoán HD (i) > Ngân hàng The HongKong and Shanghai Banking Corporation Limited (iii), (iv)Trong đó:Trái phiếu dài hạn đến hạn trả > Ngân hàng The HongKong and Shanghai Banking Corporation Limited, Singapore Branch;Ngân hàng UBS AG Singapore Branch và Ngân hàng The Bank of New York Mellon, London Branch (v)",Số cuối năm > Nguyễn tệ > VND > USD,Số cuối năm > Triệu VND > 5.940.028 > 1.045.165 > 1.416.968 > 687.396 > 7.488.490 > 5.903.144 > 6.204.165,Kỳ hạn trả gốc và lãi > Trả gốc từ tháng 3 năm 2026 đến tháng 3 năm 2027.Trả lãi sáu tháng một lần > Trả gốc vào tháng 2 năm 2026. Trả lãi sáu tháng một lần > Trả gốc từ tháng 8 năm 2025 đến tháng 9 năm 2026.Trả lãi sáu tháng một lần > Trả gốc từ tháng 4 năm 2026 đến tháng 5 năm 2026.Trả lãi sáu tháng một lần > Trả gốc từ tháng 2 năm 2025 đến tháng 11 năm 2025.Trả lãi sáu tháng một lần > Trả gốc vào tháng 11 năm 2028. Trả lãi hàng quý. Trái chủ có thể thực hiện quyền chọn bản từ tháng 11 năm 2026.,"Lãi suất năm > Lãi suất thả nổi, lãi suất trong năm từ 14,5%/năm đến 15%/năm > Lãi suất cố định 8,5%/năm > Lãi suất thả nổi, lãi suất trong năm từ 8,7%/năm đến 15%/năm > Lãi suất thả nổi, lãi suất trong năm 12,5%/năm > Lãi suất cố định, lãi suất trong năm từ 4%/năm đến 5%/năm > Lãi suất cố định 10%/năm",numeric__Số cuối năm > Nguyễn tệ > VND > USD,numeric__Số cuối năm > Triệu VND > 5.940.028 > 1.045.165 > 1.416.968 > 687.396 > 7.488.490 > 5.903.144 > 6.204.165,numeric__Kỳ hạn trả gốc và lãi > Trả gốc từ tháng 3 năm 2026 đến tháng 3 năm 2027.Trả lãi sáu tháng một lần > Trả gốc vào tháng 2 năm 2026. Trả lãi sáu tháng một lần > Trả gốc từ tháng 8 năm 2025 đến tháng 9 năm 2026.Trả lãi sáu tháng một lần > Trả gốc từ tháng 4 năm 2026 đến tháng 5 năm 2026.Trả lãi sáu tháng một lần > Trả gốc từ tháng 2 năm 2025 đến tháng 11 năm 2025.Trả lãi sáu tháng một lần > Trả gốc vào tháng 11 năm 2028. Trả lãi hàng quý. Trái chủ có thể thực hiện quyền chọn bản từ tháng 11 năm 2026.,"numeric__Lãi suất năm > Lãi suất thả nổi, lãi suất trong năm từ 14,5%/năm đến 15%/năm > Lãi suất cố định 8,5%/năm > Lãi suất thả nổi, lãi suất trong năm từ 8,7%/năm đến 15%/năm > Lãi suất thả nổi, lãi suất trong năm 12,5%/năm > Lãi suất cố định, lãi suất trong năm từ 4%/năm đến 5%/năm > Lãi suất cố định 10%/năm"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,27.997.960,,,,27997960.0,,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,,21.407.420,,,,21407420.0,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,,6.590.540,,,,6590540.0,,
