row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bắt động sản","Ngắn hạn > Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bắt động sản","Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bắt động sản",7.835.351,7.472.027,7835351.0,7472027.0
Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Ngắn hạn > Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,9.131.458,221.707,9131458.0,221707.0
Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bắt động sản,Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bắt động sản,Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bắt động sản,5.417.194,403.626,5417194.0,403626.0
Phải trả tiền đặt cọc theo biển bản thanh lý thỏa thuận hợp tác phát triển,Ngắn hạn > Phải trả tiền đặt cọc theo biển bản thanh lý thỏa thuận hợp tác phát triển,Phải trả tiền đặt cọc theo biển bản thanh lý thỏa thuận hợp tác phát triển,387.965,7.687.965,387965.0,7687965.0
Đặt cọc để chuyển nhượng các khoản đầu tư,Ngắn hạn > Đặt cọc để chuyển nhượng các khoản đầu tư,Đặt cọc để chuyển nhượng các khoản đầu tư,-,6.740.792,,6740792.0
Phải trả theo hình thức thư tín dụng (*),Ngắn hạn > Phải trả theo hình thức thư tín dụng (*),Phải trả theo hình thức thư tín dụng (*),-,237.582,,237582.0
Khác,Ngắn hạn > Khác,Khác,1.875.722,66.620,1875722.0,66620.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,24.647.690,22.830.319,24647690.0,22830319.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 33.2),Phải trả các bên liên quan (Thuyết minh số 33.2),15.433.658,8.135.955,15433658.0,8135955.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,9.214.032,14.694.364,9214032.0,14694364.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tác đầu tư/kinh doanh/liền danh và chuyển nhượng các dự án bắt động sản","Dài hạn > Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tác đầu tư/kinh doanh/liền danh và chuyển nhượng các dự án bắt động sản","Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tác đầu tư/kinh doanh/liền danh và chuyển nhượng các dự án bắt động sản",61.495.240,81.385.757,61495240.0,81385757.0
Phải trả tiền đặt cọc theo biển bản thanh lý thỏa thuận hợp tác phát triển (**),Dài hạn > Phải trả tiền đặt cọc theo biển bản thanh lý thỏa thuận hợp tác phát triển (**),Phải trả tiền đặt cọc theo biển bản thanh lý thỏa thuận hợp tác phát triển (**),8.400.000,-,8400000.0,
Đặt cọc để chuyển nhượng các khoản đầu tư,Dài hạn > Đặt cọc để chuyển nhượng các khoản đầu tư,Đặt cọc để chuyển nhượng các khoản đầu tư,6.795.553,13.702.854,6795553.0,13702854.0
Khác,Dài hạn > Khác,Khác,-,700.098,,700098.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,76.690.793,95.788.709,76690793.0,95788709.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 33.2),Phải trả các bên liên quan (Thuyết minh số 33.2),73.212.809,90.031.665,73212809.0,90031665.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,3.477.984,5.757.044,3477984.0,5757044.0
